Item,Reference,Estimate
006.jams,102.6973827634738,114.84375
013.jams,65.28497409326435,135.999178
057.jams,88.82477009731647,93.116554
059.jams,69.11142454160786,103.359375
075.jams,60.47447090551723,91.468473
090.jams,156.3090737240089,81.385335
091.jams,71.86312428464774,108.799342
103.jams,162.5007676718043,109.956782
107.jams,152.5511674834247,144.565636
121.jams,69.92785221596782,130.834652
122.jams,74.99787420991466,130.834652
123.jams,72.56571641497726,137.8125
124.jams,96.14825581395367,121.599265
125.jams,72.33955301741304,117.453835
129.jams,95.59939301972686,112.347147
130.jams,55.72409764051969,116.134129
131.jams,87.04520034212771,98.4375
133.jams,77.03729583369673,120.18532
135.jams,79.3141692395312,118.803879
137.jams,173.89018969036002,147.65625
138.jams,194.11635243195323,112.991431
139.jams,139.5054568461012,127.604167
140.jams,86.32663513876946,101.332721
150.jams,126.80208333333351,137.8125
157.jams,136.91400186277573,91.468473
189.jams,180.6513279169794,120.18532
190.jams,169.9312825123629,121.599265
193.jams,124.70543877839572,117.453835
207.jams,180.71305865066222,147.65625
218.jams,91.2446299445678,117.453835
219.jams,77.8807947019865,121.599265
221.jams,81.27783750575982,118.46444
