Item,Reference,Estimate
006.jams,102.6973827634738,113.9
007.jams,63.902238751901834,92.9
010.jams,109.13815509189229,144.5
013.jams,65.28497409326435,138.4
057.jams,88.82477009731647,94.5
059.jams,69.11142454160786,103.4
075.jams,60.47447090551723,91.8
107.jams,152.5511674834247,83.2
112.jams,142.92276218782627,148.9
121.jams,69.92785221596782,101.0
122.jams,74.99787420991466,110.5
123.jams,72.56571641497726,156.9
124.jams,96.14825581395367,126.0
125.jams,72.33955301741304,111.8
126.jams,61.93240333302123,102.9
127.jams,65.1812437744379,124.3
128.jams,59.44464414090583,101.2
129.jams,95.59939301972686,101.6
130.jams,55.72409764051969,103.1
131.jams,87.04520034212771,128.4
132.jams,60.09129516499008,82.7
133.jams,77.03729583369673,111.5
138.jams,194.11635243195323,117.6
139.jams,139.5054568461012,65.5
140.jams,86.32663513876946,112.2
150.jams,126.80208333333351,69.4
152.jams,114.23390752493206,77.0
193.jams,124.70543877839572,164.8
195.jams,86.95655930444082,123.8
202.jams,77.81666323559712,118.3
205.jams,132.30000000000004,83.5
218.jams,91.2446299445678,77.2
220.jams,58.22935234699938,97.1
221.jams,81.27783750575982,143.6
225.jams,110.05739955078607,114.9
