Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,0.5937756203600324,0.7671836408067833,0.43056061437740534,8.247453662634364e-09,8.554562326949466e-07,0.9913245704595022,0.06767947281999019,0.0025999079049777315,0.03406723475126481,0.4576352893295088,1.0711915832453409e-05,0.015283145584179857,0.0018456324935361157,0.020806893888649654,0.2877744498045167,0.06249696602318076,0.14215318850119923,0.6677233171379244
boeck2019/multi_task,0.5937756203600324,1.0,0.7486223340673015,0.7762240842157156,4.2743978249497484e-07,9.300170759316646e-09,0.7105429271862647,0.16442327605151635,0.009648508865391375,0.0063284052224599815,0.20502940299364966,1.3129353827408086e-06,0.00078477163349952,0.00012430967317955961,0.07452166040492433,0.5399068826533207,0.19779130589618918,0.36635300676894444,0.9777352952595073
boeck2019/multi_task_hjdb,0.7671836408067833,0.7486223340673015,1.0,0.5725436287315153,1.0337364039388481e-07,3.2923486437771515e-08,0.826944693782711,0.11389202294707333,0.004747292237960672,0.011447037864267942,0.2685409843062856,3.5939496816369147e-06,0.0026443461571929246,0.00014717249613498275,0.03927923414180342,0.4422090898657849,0.12349463435460331,0.27085483896732254,0.8561369968876149
boeck2020/dar,0.43056061437740534,0.7762240842157156,0.5725436287315153,1.0,3.871469731349647e-06,1.8578400871719164e-08,0.5986644491924964,0.30775880291297886,0.04738646986606469,0.008792099019927687,0.19713965193914137,1.9126911126954165e-06,0.0011593690417298671,0.00012432329085137035,0.13512365571420684,0.719085900545023,0.3434776668253742,0.5247291657374786,0.8131518295614748
davies2009/mirex_qm_tempotracker,8.247453662634364e-09,4.2743978249497484e-07,1.0337364039388481e-07,3.871469731349647e-06,1.0,1.3226862402664773e-19,1.5980835060537292e-09,8.923665738772116e-11,1.0952527391412351e-07,2.6298811764536746e-17,2.355780976212023e-11,5.895543135138201e-21,1.0631247899842151e-13,8.797453030799286e-13,1.5854962486761818e-05,3.248442790691355e-06,2.529554180392679e-07,1.0615740684089872e-05,1.0965892272162926e-11
echonest/version_3_2_1,8.554562326949466e-07,9.300170759316646e-09,3.2923486437771515e-08,1.8578400871719164e-08,1.3226862402664773e-19,1.0,6.436659401770352e-06,1.9268576644757193e-11,2.447386814162564e-14,0.0007167272154709145,0.0010481013746543334,0.23353802188578038,0.0009973916965645292,0.048805613103049254,3.059368785096611e-12,1.7089483191684592e-08,2.601681395441644e-10,1.2869194570035078e-09,4.226156889682534e-08
gkiokas2012/default,0.9913245704595022,0.7105429271862647,0.826944693782711,0.5986644491924964,1.5980835060537292e-09,6.436659401770352e-06,1.0,0.04947427518445103,0.007194534307690564,0.03548924477467037,0.3517125908495,2.337339451402833e-05,0.046618815257938456,0.011890347490612116,0.08386960468719969,0.35566353053035227,0.2169840755156272,0.3410227809245808,0.6673897809604858
klapuri2006/percival2014,0.06767947281999019,0.16442327605151635,0.11389202294707333,0.30775880291297886,8.923665738772116e-11,1.9268576644757193e-11,0.04947427518445103,1.0,0.11072438894372065,2.5293161752424353e-07,0.0047438489157162434,1.3383260364151887e-11,3.4665145258099976e-05,6.222681703044267e-06,0.896390506512127,0.44302778848619095,0.6347951965126919,0.5606201183342118,0.0620646686196318
oliveira2010/ibt,0.0025999079049777315,0.009648508865391375,0.004747292237960672,0.04738646986606469,1.0952527391412351e-07,2.447386814162564e-14,0.007194534307690564,0.11072438894372065,1.0,1.0092950933104943e-09,9.304233870828576e-05,9.304007871237967e-14,4.835904050425639e-08,1.4026689785326583e-08,0.3292143372501639,0.08261242640326956,0.08087943734394247,0.09996214958542134,0.0009767293063043315
percival2014/stem,0.03406723475126481,0.0063284052224599815,0.011447037864267942,0.008792099019927687,2.6298811764536746e-17,0.0007167272154709145,0.03548924477467037,2.5293161752424353e-07,1.0092950933104943e-09,1.0,0.306350406590444,0.007491956747307283,0.7640203459742425,0.19997539638615708,2.4011740656773784e-05,0.0018529207691520314,4.20939876406104e-05,0.0011425326342060296,0.0014875626849609903
scheirer1998/percival2014,0.4576352893295088,0.20502940299364966,0.2685409843062856,0.19713965193914137,2.355780976212023e-11,0.0010481013746543334,0.3517125908495,0.0047438489157162434,9.304233870828576e-05,0.306350406590444,1.0,0.005788480026321582,0.23763283072677088,0.05913204144829894,0.007789923606629501,0.14253392826989064,0.0348159301162255,0.06968138129377836,0.1864311053717391
schreiber2014/default,1.0711915832453409e-05,1.3129353827408086e-06,3.5939496816369147e-06,1.9126911126954165e-06,5.895543135138201e-21,0.23353802188578038,2.337339451402833e-05,1.3383260364151887e-11,9.304007871237967e-14,0.007491956747307283,0.005788480026321582,1.0,0.03500481960275373,0.4503909146564883,1.3273657364446929e-11,4.557701494337367e-07,5.42699653666683e-10,1.6780957104621126e-07,6.202869116878576e-08
schreiber2017/ismir2017,0.015283145584179857,0.00078477163349952,0.0026443461571929246,0.0011593690417298671,1.0631247899842151e-13,0.0009973916965645292,0.046618815257938456,3.4665145258099976e-05,4.835904050425639e-08,0.7640203459742425,0.23763283072677088,0.03500481960275373,1.0,0.13742325369789668,5.37947218672442e-06,0.000841369510198938,2.3883770243863914e-05,0.0004550566651324326,0.0034567346075625085
schreiber2017/mirex2017,0.0018456324935361157,0.00012430967317955961,0.00014717249613498275,0.00012432329085137035,8.797453030799286e-13,0.048805613103049254,0.011890347490612116,6.222681703044267e-06,1.4026689785326583e-08,0.19997539638615708,0.05913204144829894,0.4503909146564883,0.13742325369789668,1.0,1.4111577102817347e-07,5.6709151285815075e-05,3.0070948079971067e-06,2.0121159908517545e-05,0.0003591427341087454
schreiber2018/cnn,0.020806893888649654,0.07452166040492433,0.03927923414180342,0.13512365571420684,1.5854962486761818e-05,3.059368785096611e-12,0.08386960468719969,0.896390506512127,0.3292143372501639,2.4011740656773784e-05,0.007789923606629501,1.3273657364446929e-11,5.37947218672442e-06,1.4111577102817347e-07,1.0,0.26614354374258326,0.4332752634684497,0.3519502554365419,0.11303557235855996
schreiber2018/fcn,0.2877744498045167,0.5399068826533207,0.4422090898657849,0.719085900545023,3.248442790691355e-06,1.7089483191684592e-08,0.35566353053035227,0.44302778848619095,0.08261242640326956,0.0018529207691520314,0.14253392826989064,4.557701494337367e-07,0.000841369510198938,5.6709151285815075e-05,0.26614354374258326,1.0,0.6005214485720316,0.8886673469571635,0.5286590133644831
schreiber2018/ismir2018,0.06249696602318076,0.19779130589618918,0.12349463435460331,0.3434776668253742,2.529554180392679e-07,2.601681395441644e-10,0.2169840755156272,0.6347951965126919,0.08087943734394247,4.20939876406104e-05,0.0348159301162255,5.42699653666683e-10,2.3883770243863914e-05,3.0070948079971067e-06,0.4332752634684497,0.6005214485720316,1.0,0.7609030678512751,0.21608829052442416
sun2021/default,0.14215318850119923,0.36635300676894444,0.27085483896732254,0.5247291657374786,1.0615740684089872e-05,1.2869194570035078e-09,0.3410227809245808,0.5606201183342118,0.09996214958542134,0.0011425326342060296,0.06968138129377836,1.6780957104621126e-07,0.0004550566651324326,2.0121159908517545e-05,0.3519502554365419,0.8886673469571635,0.7609030678512751,1.0,0.45677079767053785
zplane/auftakt_v3,0.6677233171379244,0.9777352952595073,0.8561369968876149,0.8131518295614748,1.0965892272162926e-11,4.226156889682534e-08,0.6673897809604858,0.0620646686196318,0.0009767293063043315,0.0014875626849609903,0.1864311053717391,6.202869116878576e-08,0.0034567346075625085,0.0003591427341087454,0.11303557235855996,0.5286590133644831,0.21608829052442416,0.45677079767053785,1.0
