Item,Reference,Estimate
4_Am.jams,153.8461538461536,76.8471
6_Million_Ways_To_Die_(DJ_Hype_Remix).jams,157.8947368421057,79.5072
A21.jams,150.00000000000054,75.1705
A_Musical_Box.jams,157.89473684210532,79.2026
Another_Direction.jams,150.00000000000054,74.8981
Being_With_You.jams,157.8947368421057,79.5072
Being_With_You_(Foul_Play_Remix).jams,157.89473684210716,79.8142
Beyond_Bass.jams,157.8947368421057,79.8142
Bish_Bosh.jams,146.3414634146341,72.2793
Bouncing.jams,162.16216216216174,80.1235
Breakage4.jams,171.42857142857162,86.1328
Breaking_Free.jams,153.8461538461538,77.4228
Breaking_Free_2.jams,157.8947368421042,78.3026
Cant_Stop_Thinking_About.jams,169.49152542372877,85.0694
Casanova_(Down_To_Earth_Remix).jams,164.8351648351661,82.3581
Champion_Sound.jams,162.16216216216017,80.1235
Champion_Sound_(Doc_Scott_Remix).jams,157.89473684210716,79.8142
Chasin_A_Dream.jams,157.89473684210532,78.9003
Cold_Fresh_Air_(Remix).jams,160.02844950213367,80.1235
Crackman_The_Return_(DJ_Ron_Remix).jams,150.00000000000054,75.1705
Crystalize.jams,166.66666666666694,83.0196
DJ_Business.jams,142.85714285714226,70.7941
Dam_Tuff.jams,166.66666666666669,82.6875
Dance_Factor.jams,146.34146341463284,72.2793
Dark_Angel.jams,150.0000000000001,74.8981
Dark_Stranger_(Origin_Unknown_Remix).jams,157.8947368421057,79.8142
Darkcore.jams,153.8461538461536,77.4228
Darkman.jams,153.8461538461536,77.1339
Deep_Love.jams,149.9999999999999,74.8981
Deep_Space.jams,166.6666666666667,83.0196
Demons_Theme.jams,146.34146341463284,72.5329
Devotion.jams,153.8461538461536,76.8471
Digable_Bass.jams,166.6666666666653,82.0312
Dis_Generation.jams,157.8947368421057,78.9003
Dont_Need_Your_Love.jams,162.1621621621621,81.0662
Dream_Sequence.jams,157.89473684210716,79.5072
Drum_Programme_(Remix).jams,157.8947368421057,79.8142
Drummer_Of_Doom.jams,153.8461538461538,77.4228
Dub_War_Chapter_1_(Raw_Mix).jams,153.8461538461536,77.4228
Dub_War_Chapter_1_(The_Mix_Strikes_Back).jams,153.8461538461536,77.4228
Dub_War_Chapter_2.jams,153.8461538461536,77.4228
Ecstatic_House.jams,153.8461538461536,77.4228
Enticer.jams,157.89473684210716,79.8142
Essence_Ep.jams,162.1621621621625,81.3853
Even_Further_Intrigue.jams,153.8461538461537,77.1339
Factor_5.jams,139.53488372093034,69.8374
Fearless_Wonder_(Remix).jams,154.63917525773272,77.7138
Feel_(Feel_Good).jams,153.84615384615432,77.7138
Final_Conflict.jams,153.8461538461536,77.4228
Finest_Illusion_(Legal_Mix).jams,157.89473684210495,78.6003
Flammable.jams,153.8461538461536,77.4228
Flammable_(Tango_Remix).jams,157.89473684210495,78.9003
Freeaneazy.jams,157.8947368421057,79.8142
Fuckin_Hardcore.jams,157.89473684210532,78.9003
Further_Intrigue.jams,153.84615384615398,77.4228
Future_Followers_(Remix).jams,153.8461538461536,77.1339
Future_Funk.jams,153.8461538461538,77.4228
Gangsta.jams,153.8461538461536,76.8471
Ghetto_People.jams,157.89473684210526,78.6003
Ghetto_People_(Remix).jams,153.8461538461536,76.8471
