Item,Reference,Estimate
6_Million_Ways_To_Die_(DJ_Hype_Remix).jams,158.9403973509934,199.87
A_Musical_Box.jams,158.41756709654908,79.75
A_New_Dawn.jams,158.94039735099358,79.44
Being_With_You_1.jams,154.83870967741964,77.05
Beyond_Bass.jams,160.0,78.45
Breaking_Free_2.jams,156.8627450980391,77.85
Casanova_(Down_To_Earth_Remix).jams,164.9484536082476,81.83
Chasin_A_Dream.jams,157.89473684210532,78.95
Dark_Stranger_(Origin_Unknown_Remix).jams,159.99999999999991,150.32
Darkman.jams,154.83870967741893,77.14
Devotion.jams,153.8461538461538,115.05
Enticer.jams,160.0,80.14
Feel_(Feel_Good).jams,155.84415584415575,79.31
Flammable.jams,154.83870967741927,76.95
Freeaneazy.jams,160.0,79.5
Further_Intrigue.jams,154.83870967741927,76.83
Future_Followers.jams,154.83870967741927,76.99
Ghetto_People.jams,156.86274509803928,78.61
I_Need_Your_Lovin.jams,154.83870967741936,78.91
Into_Da_Future_(Massive_Mix).jams,163.26530612244895,81.26
Light_Years.jams,151.99493350221653,76.04
Livin_In_A_Dream.jams,154.83870967741893,76.33
Lords_Of_The_Null_Lines_(Foul_Play_Remix).jams,160.0,79.9
My_Own_(Hixxy_and_UFO_Remix).jams,164.38356164383592,80.66
No_Worries.jams,157.89473684210532,77.82
Open_Your_Mind.jams,158.9403973509934,79.37
Original_Badboy.jams,158.9403973509932,79.69
Promised_Land.jams,147.23926380368107,100.61
R_Yeah.jams,158.94039735099358,79.2
Skanka.jams,158.9403973509934,79.63
Stay_Calm_(Foul_Play_Remix).jams,159.9999999999998,79.67
T-N-T.jams,158.94039735099358,101.31
Terrorist_(Grooverider_Remix).jams,156.8627450980391,78.23
The_Element_(Highnoon).jams,146.3414634146341,110.15
The_End_(Alternative_Version).jams,166.66666666666694,83.22
The_R.jams,150.00000000000003,204.93
Twisted.jams,158.9403973509934,79.46
Wait_4_The_Bass.jams,154.83870967741933,77.02
We_Are_Hardcore.jams,142.8571428571429,196.71
What_Kind_of_World.jams,170.21276595744658,84.67
