Item,Reference,Estimate
2_Bad_Mice_Take_You.jams,142.86,71.97668
6_Million_Ways_To_Die_(DJ_Hype_Remix).jams,157.89,79.40894
A_Musical_Box.jams,157.89,79.11323
A_New_Dawn.jams,157.89,79.6258
Alright_With_Me.jams,150.0,75.012665
Being_With_You.jams,157.89,79.645515
Being_With_You_1.jams,153.85,77.51638
Beyond_Bass.jams,157.89,79.92152
Breakage4.jams,171.43,86.15121
Cant_Stop_The_Rush_(93_Remix).jams,153.85,77.31923
Cant_Stop_Thinking_About.jams,169.49,76.43209
Casanova_(Down_To_Earth_Remix).jams,164.84,82.48437
Champion_Sound_(Doc_Scott_Remix).jams,157.89,79.88209
Chasin_A_Dream.jams,157.89,78.91609
Cold_Fresh_Air_(Remix).jams,157.89,79.960945
Come_Back_2_Me.jams,157.89,78.36409
Cookin_Up_Yah_Brain.jams,142.86,70.892395
Crystalize.jams,166.67,103.89403
Dam_Tuff.jams,166.67,82.563225
Dark_Angel.jams,150.0,74.9141
Dark_Stranger_(Origin_Unknown_Remix).jams,157.89,79.7638
Darkcore.jams,153.85,77.299515
Deep_Cover.jams,150.0,74.95352
Deep_Space.jams,166.67,103.93346
Digable_Bass.jams,166.67,82.287224
Dis_Generation.jams,157.89,79.054085
Dont_Come_No_Ruffer_(Ruff_Mix).jams,157.07,78.14723
Dont_Need_Your_Love.jams,162.16,80.315796
Drowning_In_Her.jams,153.85,77.27981
Dub_War_Chapter_1_(Raw_Mix).jams,153.85,77.398094
Enticer.jams,157.89,79.84265
Essence_Ep.jams,162.16,81.49866
Fearless_Wonder_(Remix).jams,154.64,77.67409
Feel_(Feel_Good).jams,153.85,77.77266
Finest_Illusion_(Legal_Mix).jams,157.89,78.64008
Fireball.jams,130.43,64.89927
Flammable.jams,153.85,77.27981
Flammable_(Tango_Remix).jams,157.89,78.77809
Freeaneazy.jams,157.89,79.901794
Further_Intrigue.jams,153.85,77.27981
Future_Followers.jams,153.85,77.27981
Future_Funk.jams,153.85,77.358665
Gangsta.jams,153.85,76.944664
Get_High_(New_Jack_London).jams,157.89,79.92152
Ghetto_People_(Remix).jams,153.85,76.80666
Give_A_Little_Love_(Remix).jams,150.0,74.95352
Going_Out_For_Da_Loot.jams,166.67,82.36607
Gotta_Release.jams,157.89,79.13295
Hands_Of_Time.jams,157.89,78.75838
Happiness.jams,153.85,76.80666
Hardcore_Junglism.jams,142.86,71.77953
Here_Comes_The_Drumz_(Drumz_VIP_Mix).jams,147.78,73.92839
Hey_DJ.jams,157.89,79.94123
Hold_it_Down.jams,133.33,67.00869
Horizons.jams,164.38,78.89637
I_Need_Your_Lovin.jams,153.85,77.51638
Imagine_The_Future.jams,166.67,83.58836
Into_Da_Future_(Massive_Mix).jams,162.16,80.00037
Jeopardy_(DJ_Spice_Mix).jams,153.85,77.27981
Johnny_(Dance_Conspiracy_Mix).jams,150.0,74.71696
Johnny_94_(Origin_Unkown_Remix).jams,157.89,79.92152
Last_Action_Hero.jams,153.85,76.92496
Let_Me_Be_Your_Fantasy.jams,136.36,67.481834
Lords_Of_The_Null_Lines_(Foul_Play_Remix).jams,157.89,79.92152
Manic_Stampede.jams,146.34,73.23839
Mr._Logic.jams,162.16,81.26208
Music.jams,153.85,77.45723
Music_Takes_You.jams,139.53,68.98012
My_Own_(Hixxy_and_UFO_Remix).jams,166.67,158.06874
Mystic_Stepper_(Feel_Better).jams,153.85,77.53609
No_Worries.jams,157.89,78.876656
Oblivion.jams,162.16,80.47351
Obsession_(Musics_So_Wonderful).jams,157.89,79.58637
Obsession_(The_Only_Remix).jams,157.89,79.7638
On_My_Own_(Rmx).jams,157.89,78.423225
Open_Secrets.jams,166.67,82.563225
Open_Your_Mind.jams,157.89,79.54694
Peakin_Thru_The_Window.jams,157.89,79.82294
Phizical_(Moody_Mix).jams,157.89,79.94123
Project_1_(Remix).jams,162.16,79.92152
Promised_Land.jams,146.34,73.73125
R-type.jams,166.67,83.50951
R_Yeah.jams,157.89,79.72437
Renegade_Snares_(VIP_Remix).jams,157.89,79.68494
Rhythm.jams,153.85,77.31923
Rockin_Down_The_House.jams,130.43,65.39212
Ruff_(Remix).jams,162.16,80.39466
Scottie.jams,162.16,81.932365
Screw_Face.jams,166.67,82.44494
Serious_Sounds.jams,157.89,79.92152
Showtime.jams,142.86,70.77411
Skanka.jams,157.89,79.70466
So_Good.jams,157.89,79.290665
Something_I_Feel_(2_Bad_Mice_Remix).jams,157.89,79.98065
Something_New_Pt1.jams,162.16,80.33552
Spiritual_Aura.jams,157.89,79.82294
Stay_Calm_(Foul_Play_Remix).jams,157.89,79.72437
Storm_Trooper.jams,162.16,80.7298
Street_Knowledge.jams,150.0,74.9141
Summer_Breeze.jams,157.89,78.62038
Superpod.jams,157.89,77.98952
Sweet_Vibrations.jams,162.16,79.6258
T-N-T.jams,157.89,79.52722
Tales_From_The_Darkside_2.jams,153.85,77.37837
Terrorist_(Grooverider_Remix).jams,157.89,78.44295
Terrorist_(PA_Mix).jams,166.67,82.40551
Terrorist_(original).jams,150.0,74.9141
The_Deep.jams,153.85,76.491234
The_End_(Alternative_Version).jams,166.67,83.548935
The_Grand_National_(DJ_SS_and_EQ_Remix).jams,146.34,73.6721
The_Helicopter_Tune.jams,166.67,82.247795
The_R.jams,150.0,75.0521
The_Slammer.jams,153.85,76.905235
The_Warning_(Remix).jams,153.85,77.43752
Tibetan_Jungle.jams,157.89,79.92152
Tiger_Style.jams,162.16,80.57208
Trip_II_The_Moon.jams,150.0,74.5001
United.jams,153.85,77.8318
United_(Grooverider_Remix).jams,162.16,80.65094
Unity.jams,130.43,64.97812
Volume_1.jams,153.85,77.24038
Warpdrive.jams,157.89,79.92152
What_Kind_of_World.jams,171.43,84.92893
Wots_My_Code_(Ray_Keith_Final_Plate).jams,150.0,75.93924
You_Dont_Know.jams,157.89,79.94123
You_Got_Me_Burnin_(A.A.S_Mix).jams,146.34,73.90867
