Item,Reference,Estimate
Abba/Gold - Greatest Hits/20 sec/01-Dancing Queen.jams,101.010084,80.2881
Abba/Gold - Greatest Hits/20 sec/03-Take A Chance On Me.jams,107.142857,80.2881
Abba/Gold - Greatest Hits/20 sec/04-Mamma Mia.jams,136.617092,68.3679
Abba/Gold - Greatest Hits/20 sec/08-The Winner Takes It All.jams,122.199593,83.2412
"Abba/Gold - Greatest Hits/20 sec/09-Money, Money, Money.jams",120.0,240.3105
Abba/Gold - Greatest Hits/20 sec/10-S. O. S.jams,122.44898,63.8613
Abba/Gold - Greatest Hits/20 sec/12-Fernando.jams,101.35136,50.9106
Abba/Gold - Greatest Hits/20 sec/17-The Name Of The Game.jams,152.824308,75.3662
Abba/Gold - Greatest Hits/20 sec/19-Waterloo.jams,146.341463,73.3667
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/02-The_Raven.jams,85.0,76.1353
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/04-The_Cask_Of_Amontillado.jams,39.0,86.1328
Alirio Diaz/The Art of Spanish Guitar/20 sec/01-Tarrega_  Recuerdos de la Alhambra.jams,88.0,99.0527
Alirio Diaz/The Art of Spanish Guitar/20 sec/02-Lauro_  Dos Valses Venezolanos - Uno.jams,68.0,102.4365
Alirio Diaz/The Art of Spanish Guitar/20 sec/04-Sojo_  Guaso.jams,55.0,130.7373
Alirio Diaz/The Art of Spanish Guitar/20 sec/05-Sojo_  Cancion.jams,66.0,53.9868
Asian_Dub_Foundation/R.A.F.I/20sec/01-Assassin.jams,78.438683,156.5156
Asian_Dub_Foundation/R.A.F.I/20sec/02-Change.jams,161.538493,80.2881
Asian_Dub_Foundation/R.A.F.I/20sec/03-Black_White.jams,80.083928,160.5762
Asian_Dub_Foundation/R.A.F.I/20sec/05-Free_Satpal_Ram.jams,105.874359,212.2559
Asian_Dub_Foundation/R.A.F.I/20sec/06-Modern_Apprentice.jams,77.168671,102.6211
Asian_Dub_Foundation/R.A.F.I/20sec/07-Operation_Eagle_Lie.jams,81.996225,167.0361
Asian_Dub_Foundation/R.A.F.I/20sec/09-Naxalite.jams,83.291364,116.2793
Asian_Dub_Foundation/R.A.F.I/20sec/11-Dub_Mentality.jams,87.047758,173.4961
Asian_Dub_Foundation/R.A.F.I/20sec/12-Culture_Move.jams,83.0,110.7422
Asian_Dub_Foundation/R.A.F.I/20sec/13-Real_Areas_For_Investigation.jams,52.029585,102.9902
Autechre/Amber/20sec/01-Foil.jams,124.0,249.1699
Autechre/Amber/20sec/02-Montreal.jams,120.0,240.249
Autechre/Amber/20sec/04-Slip.jams,70.0,140.2734
Autechre/Amber/20sec/05-Glitch.jams,150.0,74.5664
Autechre/Amber/20sec/08-Further.jams,110.0,220.8691
Autechre/Amber/20sec/10-Nil.jams,100.367479,131.0449
Autechre/Amber/20sec/11-Teartear.jams,75.0,149.502
