Item,Reference,Estimate
"Abba/Gold - Greatest Hits/20 sec/02-Knowing Me, Knowing You.jams",105.755105,nan
Abba/Gold - Greatest Hits/20 sec/08-The Winner Takes It All.jams,122.199593,161.499
"Abba/Gold - Greatest Hits/20 sec/09-Money, Money, Money.jams",120.0,nan
Abba/Gold - Greatest Hits/20 sec/11-Chiquitita.jams,87.0,184.57
Abba/Gold - Greatest Hits/20 sec/12-Fernando.jams,101.35136,206.719
Abba/Gold - Greatest Hits/20 sec/16-One Of Us.jams,165.169133,83.3543
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/02-The_Raven.jams,85.0,172.266
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/03-The_Tell-tale_Heart.jams,63.0,126.048
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/04-The_Cask_Of_Amontillado.jams,39.0,120.185
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/05-_The_System_Of__Doctor_Tarr_And_Professor_Fether.jams,85.0,172.266
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/07-The_Fall_Of_The_House_Of_Usher__II__Arrival.jams,76.0,156.605
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/11-To_One_In_Paradise.jams,77.0,156.605
Alirio Diaz/The Art of Spanish Guitar/20 sec/01-Tarrega_  Recuerdos de la Alhambra.jams,88.0,191.406
Alirio Diaz/The Art of Spanish Guitar/20 sec/02-Lauro_  Dos Valses Venezolanos - Uno.jams,68.0,139.675
Alirio Diaz/The Art of Spanish Guitar/20 sec/04-Sojo_  Guaso.jams,55.0,139.675
Alirio Diaz/The Art of Spanish Guitar/20 sec/05-Sojo_  Cancion.jams,66.0,143.555
Asian_Dub_Foundation/R.A.F.I/20sec/01-Assassin.jams,78.438683,105.469
Asian_Dub_Foundation/R.A.F.I/20sec/02-Change.jams,161.538493,82.0313
Asian_Dub_Foundation/R.A.F.I/20sec/03-Black_White.jams,80.083928,161.499
Asian_Dub_Foundation/R.A.F.I/20sec/04-Buzzing.jams,85.579022,114.844
Asian_Dub_Foundation/R.A.F.I/20sec/06-Modern_Apprentice.jams,77.168671,156.605
Asian_Dub_Foundation/R.A.F.I/20sec/07-Operation_Eagle_Lie.jams,81.996225,112.347
Asian_Dub_Foundation/R.A.F.I/20sec/08-Hypocrite.jams,74.0,147.656
Asian_Dub_Foundation/R.A.F.I/20sec/12-Culture_Move.jams,83.0,112.347
Asian_Dub_Foundation/R.A.F.I/20sec/13-Real_Areas_For_Investigation.jams,52.029585,105.469
Autechre/Amber/20sec/04-Slip.jams,70.0,143.555
Autechre/Amber/20sec/10-Nil.jams,100.367479,135.999
Autechre/Amber/20sec/11-Teartear.jams,75.0,151.999
Aviador_Dro/Primer_Aliento/20sec/01-Sintonia_del_refugio_atomico.jams,161.0,80.7495
Aviador_Dro/Primer_Aliento/20sec/02-Nuclear__si__por_supuesto_.jams,77.640535,156.605
Aviador_Dro/Primer_Aliento/20sec/04-Varsovia_en_llamas.jams,157.370445,105.469
Aviador_Dro/Primer_Aliento/20sec/05-Programa_en_espiral.jams,184.908764,93.9631
Aviador_Dro/Primer_Aliento/20sec/10-Ondina.jams,75.94806,156.605
Aviador_Dro/Primer_Aliento/20sec/19-El_nacimiento_de_la_industria.jams,150.0,75.9995
Bach - Walcha/DGG 419 047-2/20sec/02-Toccata u. Fuge d-moll BWV 565 - II_ Fuge.jams,81.0,166.709
Bach - Walcha/DGG 419 047-2/20sec/04-Praludium u. Fuge f-moll BWV 534 - II_ Fuge.jams,53.0,129.199
Bach - Walcha/DGG 419 047-2/20sec/06-Fantasie u. Fuge g-moll BWV 542 - II_ Fuge.jams,68.259382,135.999
"Bach - Walcha/DGG 419 047-2/20sec/08-Toccata, Adagio u. Fuge C-dur BWV 564 - II_ Adagio.jams",56.0,nan
"Bach - Walcha/DGG 419 047-2/20sec/09-Toccata, Adagio u. Fuge C-dur BWV 564 - III_ Fuge.jams",85.714273,nan
Bach - Walcha/DGG 419 047-2/20sec/10-Triosonate Nr. 1 Es-Dur BWV 525 - I_ (Allegro).jams,76.0,151.999
