Item,Reference,Estimate
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/09-The_Fall_Of_The_House_Of_Usher__IV__Pavane.jams,83.0,127.0
Alirio Diaz/The Art of Spanish Guitar/20 sec/01-Tarrega_  Recuerdos de la Alhambra.jams,88.0,186.0
Alirio Diaz/The Art of Spanish Guitar/20 sec/04-Sojo_  Guaso.jams,55.0,135.0
Alirio Diaz/The Art of Spanish Guitar/20 sec/05-Sojo_  Cancion.jams,66.0,161.0
Asian_Dub_Foundation/R.A.F.I/20sec/06-Modern_Apprentice.jams,77.168671,103.0
Asian_Dub_Foundation/R.A.F.I/20sec/13-Real_Areas_For_Investigation.jams,52.029585,209.0
Autechre/Amber/20sec/06-Piezo.jams,143.662302,191.0
Bach - Walcha/DGG 419 047-2/20sec/04-Praludium u. Fuge f-moll BWV 534 - II_ Fuge.jams,53.0,112.0
"Bach - Walcha/DGG 419 047-2/20sec/08-Toccata, Adagio u. Fuge C-dur BWV 564 - II_ Adagio.jams",56.0,127.0
"Bach/20 sec/Bach - BWV 639 - Ich ruf' zu dir, Herr Jesu Christ.jams",65.217391,92.0
Bach/20 sec/Bach - Cello suite 2 d - 01 Prelude.jams,64.308682,134.0
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/02-The_Miraculous_Mandarin___2__1st_Decoy_Game.jams,80.0,84.0
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/03-The_Miraculous_Mandarin___3__2nd_Decoy_Game.jams,80.050325,174.0
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/07-The_Miraculous_Mandarin___7.1__Agitato___7.2__Molto_moderato.jams,48.0,82.0
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/09-Music_for_Strings__Percussion_and_Celesta__I__Andante_tranquillo.jams,104.0,220.0
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/11-Music_for_Strings__Percussion_and_Celesta__III__Adagio.jams,101.437033,241.0
Bernstein_conducts_Stravinsky/20sec/01-Introduction__Part_1-_The_adoration_of_the_earth_.jams,53.472717,85.0
Bernstein_conducts_Stravinsky/20sec/16-Legerdemain_scene-_Russian_danse.jams,100.0,116.0
Bernstein_conducts_Stravinsky/20sec/17-Scene_2-_Petrushka_s_room.jams,83.524424,87.0
Bernstein_conducts_Stravinsky/20sec/22-The_bear_and_the_peasant.jams,70.0,65.0
Bernstein_conducts_Stravinsky/20sec/23-The_jovial_merchant_with_two_gypsy_girls.jams,77.334267,74.0
Bjork/Family_Tree_-_Greatest_Hits_As_Chosen_By_Bjork/20sec/05-Joga.jams,72.463764,190.0
Classic/20 sec/Borodin - String quartet 2 D 01.jams,75.14088,79.0
Classic/20 sec/Pergolesi - Stabat Mater 01.jams,44.94382,180.0
Classic/20 sec/Track 01.jams,76.0,182.0
Classic/20 sec/Track 04.jams,91.0,123.0
Fado/20 sec/03-AudioTrack 03.jams,51.724138,99.0
Fado/20 sec/08-AudioTrack 08.jams,62.926062,94.0
"GUITARE+/VOL.3 Musiques pour guitare et violoncelle/20 sec/01-M. Baumann_ Duo pour guitare et violoncelle, op.62 - 1. Prelude (Lento rubato).jams",68.965517,93.0
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/20-Usually Just a T-Shirt_ Untitled 8.jams,135.0,189.0
Olivier Chassain/Eventail/20 sec/05-Fandango.jams,79.0,73.0
Olivier Chassain/Eventail/20 sec/10-Prld1.jams,79.0,98.0
Tomatito/Tomatito-05.A mi tao 'El Nino Miguel'.jams,134.0,89.0
Xatzidakis/20 sec/06-AudioTrack 06.jams,71.0,107.0
Xatzidakis/20 sec/15-AudioTrack 15.jams,107.0,0.0
Xatzidakis/20 sec/16-AudioTrack 16.jams,98.0,66.0
charles_mingus/blues__roots/20sec/wednesday_night_prayer_meeting.jams,132.0,88.0
greek/20 sec/Asteriadi - Mia giorti.jams,69.364162,174.0
more greek/03 Virginouda.jams,58.252427,87.0
more greek/08 Hlios.jams,116.279092,151.0
more greek/Anagnwstopoulos - Hr8a ki apopse sta skalopatia sou.jams,72.0,109.0
more greek/Mpellou - Min klais.jams,38.0,71.0
more greek/Mpellou - To minore tis avgis.jams,36.0,144.0
