Item,Reference,Estimate
Abba/Gold - Greatest Hits/20 sec/16-One Of Us.jams,165.169133,82
Abba/Gold - Greatest Hits/20 sec/17-The Name Of The Game.jams,152.824308,76
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/03-The_Tell-tale_Heart.jams,63.0,125
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/04-The_Cask_Of_Amontillado.jams,39.0,120
Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination/20sec/09-The_Fall_Of_The_House_Of_Usher__IV__Pavane.jams,83.0,127
Alirio Diaz/The Art of Spanish Guitar/20 sec/01-Tarrega_  Recuerdos de la Alhambra.jams,88.0,188
Alirio Diaz/The Art of Spanish Guitar/20 sec/02-Lauro_  Dos Valses Venezolanos - Uno.jams,68.0,205
Alirio Diaz/The Art of Spanish Guitar/20 sec/04-Sojo_  Guaso.jams,55.0,134
Alirio Diaz/The Art of Spanish Guitar/20 sec/05-Sojo_  Cancion.jams,66.0,121
Asian_Dub_Foundation/R.A.F.I/20sec/04-Buzzing.jams,85.579022,170
Asian_Dub_Foundation/R.A.F.I/20sec/06-Modern_Apprentice.jams,77.168671,154
Asian_Dub_Foundation/R.A.F.I/20sec/07-Operation_Eagle_Lie.jams,81.996225,167
Asian_Dub_Foundation/R.A.F.I/20sec/08-Hypocrite.jams,74.0,147
Asian_Dub_Foundation/R.A.F.I/20sec/13-Real_Areas_For_Investigation.jams,52.029585,104
Autechre/Amber/20sec/04-Slip.jams,70.0,140
Autechre/Amber/20sec/11-Teartear.jams,75.0,150
Aviador_Dro/Primer_Aliento/20sec/05-Programa_en_espiral.jams,184.908764,93
Aviador_Dro/Primer_Aliento/20sec/08-El_ultimo_asalto_a_la_Bastilla.jams,87.924597,176
Aviador_Dro/Primer_Aliento/20sec/10-Ondina.jams,75.94806,152
Bach - Walcha/DGG 419 047-2/20sec/02-Toccata u. Fuge d-moll BWV 565 - II_ Fuge.jams,81.0,162
Bach - Walcha/DGG 419 047-2/20sec/04-Praludium u. Fuge f-moll BWV 534 - II_ Fuge.jams,53.0,56
Bach - Walcha/DGG 419 047-2/20sec/06-Fantasie u. Fuge g-moll BWV 542 - II_ Fuge.jams,68.259382,136
"Bach - Walcha/DGG 419 047-2/20sec/08-Toccata, Adagio u. Fuge C-dur BWV 564 - II_ Adagio.jams",56.0,84
"Bach - Walcha/DGG 419 047-2/20sec/09-Toccata, Adagio u. Fuge C-dur BWV 564 - III_ Fuge.jams",85.714273,172
Bach - Walcha/DGG 419 047-2/20sec/10-Triosonate Nr. 1 Es-Dur BWV 525 - I_ (Allegro).jams,76.0,146
"Bach/20 sec/Bach - BWV 639 - Ich ruf' zu dir, Herr Jesu Christ.jams",65.217391,68
Bach/20 sec/Bach - Cello suite 1 G - 01 Prelude.jams,106.19469,151
Bach/20 sec/Bach - Cello suite 2 d - 01 Prelude.jams,64.308682,84
"Bach/BACH WTC/04-Prelude and Fugue No. 2 in C minor, BWV 871 - 2. Fuga.jams",85.0,170
"Bach/BACH WTC/05-Prelude and Fugue No. 3 in C-sharp major, BWV 872 - 1. Praeludium.jams",81.0,162
Bebel_Gilberto/Tanto_Tempo/20sec/01-Samba_da_Bencao.jams,81.0,162
Bebel_Gilberto/Tanto_Tempo/20sec/04-Sem_Contencao.jams,228.155881,114
Bebel_Gilberto/Tanto_Tempo/20sec/06-Alguem.jams,65.0,131
Bebel_Gilberto/Tanto_Tempo/20sec/07-So_Nice__Summer_Samba_.jams,57.0,113
Bebel_Gilberto/Tanto_Tempo/20sec/10-Samba_e_Amor.jams,57.0,112
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/01-The_Miraculous_Mandarin___1.1__Allegro___1.2__Curtain.jams,101.0,74
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/02-The_Miraculous_Mandarin___2__1st_Decoy_Game.jams,80.0,84
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/07-The_Miraculous_Mandarin___7.1__Agitato___7.2__Molto_moderato.jams,48.0,71
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/09-Music_for_Strings__Percussion_and_Celesta__I__Andante_tranquillo.jams,104.0,80
Bela_Bartok/The_Miraculous_Mandarin_._Music_For_Strings__Percussion_and_Celesta/20sec/11-Music_for_Strings__Percussion_and_Celesta__III__Adagio.jams,101.437033,143
Bernstein_conducts_Stravinsky/20sec/01-Introduction__Part_1-_The_adoration_of_the_earth_.jams,53.472717,84
Bernstein_conducts_Stravinsky/20sec/04-Spring_round_dances.jams,59.543105,87
Bernstein_conducts_Stravinsky/20sec/06-Procession_of_the_wise_elder.jams,75.824444,153
Bernstein_conducts_Stravinsky/20sec/10-Mystical_circles_of_the_young_girls.jams,50.0,99
Bernstein_conducts_Stravinsky/20sec/11-Glorfication_of_the_chosen_victim.jams,62.0,127
Bernstein_conducts_Stravinsky/20sec/15-Petrouchka__scene_1_-_The_shrovetide_fair.jams,73.84789,148
Bernstein_conducts_Stravinsky/20sec/16-Legerdemain_scene-_Russian_danse.jams,100.0,116
Bernstein_conducts_Stravinsky/20sec/19-Waltz__ballerina_and_the_moor.jams,23.0,71
Bernstein_conducts_Stravinsky/20sec/21-Danse_of_the_nursemaids.jams,59.0,119
Bernstein_conducts_Stravinsky/20sec/22-The_bear_and_the_peasant.jams,70.0,100
Bernstein_conducts_Stravinsky/20sec/23-The_jovial_merchant_with_two_gypsy_girls.jams,77.334267,148
Bjork/Family_Tree_-_Greatest_Hits_As_Chosen_By_Bjork/20sec/01-Venus_As_A_Boy.jams,68.253352,136
Bjork/Family_Tree_-_Greatest_Hits_As_Chosen_By_Bjork/20sec/03-You_ve_Been_Flirting_Again.jams,107.0,84
Bjork/Family_Tree_-_Greatest_Hits_As_Chosen_By_Bjork/20sec/05-Joga.jams,72.463764,96
Bjork/Family_Tree_-_Greatest_Hits_As_Chosen_By_Bjork/20sec/06-Unravel.jams,52.0,77
Bjork/Family_Tree_-_Greatest_Hits_As_Chosen_By_Bjork/20sec/11-Pagan_Poetry.jams,66.0,198
Cabaret_Voltaire/The_Crackdown/20sec/02-In_the_Shadows.jams,88.657015,177
Cabaret_Voltaire/The_Crackdown/20sec/07-Why_Kill_Time__When_You_Can_Kill_Yourself_.jams,75.0,150
Cabaret_Voltaire/The_Crackdown/20sec/13-Moscow.jams,58.0,116
Carlinhos_Brown/Alfagamabetizado/20sec/10-Frases_Ventias.jams,72.365,144
Carlinhos_Brown/Alfagamabetizado/20sec/13-Mares_de_Ti.jams,74.960327,150
Classic/20 sec/Pergolesi - Stabat Mater 01.jams,44.94382,90
Classic/20 sec/Pergolesi - Stabat Mater 02.jams,37.974684,77
Classic/20 sec/Vivaldi - Stabat Mater 01.jams,48.999592,80
Classic/20 sec/Vivaldi - Stabat Mater 09.jams,48.899759,74
Fado/20 sec/03-AudioTrack 03.jams,51.724138,96
Fado/20 sec/04-AudioTrack 04.jams,55.555556,110
Fado/20 sec/08-AudioTrack 08.jams,62.926062,94
Fado/20 sec/09-AudioTrack 09.jams,53.097345,107
Femi_Kuti/Fight_To_Win/20sec/02-Walk_on_the_right_side.jams,80.0,160
GUITARE+/VOL.3 Musiques pour guitare et violoncelle/20 sec/06-E. Granados_ Intermezzo (de _Goyescas_).jams,242.435605,125
GUITARE+/VOL.3 Musiques pour guitare et violoncelle/20 sec/09-M. de Falla_ 7 chansons populaires espagnoles (extraits) - El pano moruno.jams,100.0,202
GUITARE+/VOL.3 Musiques pour guitare et violoncelle/20 sec/12-Cancion.jams,63.0,191
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/01-As Can Be.jams,77.0,152
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/05-Curtains.jams,76.0,146
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/06-Running Away Into You.jams,63.058336,125
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/07-Mascara.jams,60.443815,90
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/11-Blood on My Neck From Success.jams,71.0,144
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/16-Usually Just a T-Shirt_ Untitled 4.jams,122.032239,60
John Frusciante/Niandra LaDes and Usually Just a T-Shirt/20 sec/19-Usually Just a T-Shirt_ Untitled 7.jams,155.0,78
Jose' Merce'/aire/20 sec/01-Aire.jams,71.428571,107
Jose' Merce'/aire/20 sec/06-Arrengao.jams,163.0,54
Manu_Chao/Clandestino_-_esperando_la_ultima_ola/20sec/01-Clandestino.jams,85.0,171
Manu_Chao/Clandestino_-_esperando_la_ultima_ola/20sec/03-Bongo_bong.jams,74.767161,150
Manu_Chao/Clandestino_-_esperando_la_ultima_ola/20sec/04-Je_ne_t_aime_plus.jams,75.0,150
Manu_Chao/Clandestino_-_esperando_la_ultima_ola/20sec/05-Mentira.jams,76.0,151
Olivier Chassain/Eventail/20 sec/05-Fandango.jams,79.0,144
Olivier Chassain/Eventail/20 sec/10-Prld1.jams,79.0,96
Olivier Chassain/Eventail/20 sec/14-Prld5.jams,43.0,67
Papakonstantinou/20 sec/01-AudioTrack 01.jams,71.0,141
Papakonstantinou/20 sec/02-AudioTrack 02.jams,61.0,121
Papakonstantinou/20 sec/03-AudioTrack 03.jams,64.516129,130
Papakonstantinou/20 sec/04-AudioTrack 04.jams,63.829787,128
Papakonstantinou/20 sec/06-AudioTrack 06.jams,65.645514,132
Papakonstantinou/20 sec/09-AudioTrack 09.jams,53.0,106
Papakonstantinou/20 sec/13-AudioTrack 13.jams,50.16722,101
Papakonstantinou/20 sec/14-AudioTrack 14.jams,62.5,77
Paulinho da Viola & Elton Medeiros/Samba na Madrugada/20sec/01-Arvoredo.jams,83.0,166
