Estimator,alonso2004/ismir2004_corr,alonso2004/ismir2004_spec,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,dixon2001/ismir2004_indu,dixon2001/ismir2004_trac,dixon2003/ismir2004_auco,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/ismir2004,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/ismir2004,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,tzanetakis2002/ismir2004_hist,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_msum,uhle2004/ismir2004,zplane/auftakt_v3
alonso2004/ismir2004_corr,1.0,2.3064037457262984e-05,5.646862238249664e-47,1.7517983982977945e-20,0.09630369202868817,7.331662450766643e-05,8.179618113006655e-12,2.630989000619228e-16,9.02773018914314e-37,8.127113244139624e-36,1.1810354059193084e-33,1.7058681616615654e-12,4.078087318804871e-29,0.00012054057844390591,0.03158504615162933,2.5429559417026366e-36,5.800311145215967e-37,4.9075927462407043e-48,7.387689837903328e-41,8.73099066121942e-42,3.772581179462166e-38,0.0008198413370793557,9.599087996239068e-08,0.08567343955231739,7.471860650786368e-08,6.54069249650749e-22
alonso2004/ismir2004_spec,2.3064037457262984e-05,1.0,1.7228568300637556e-32,4.302531993798571e-08,0.033171366239873934,1.0,0.001279954846993023,2.9389613464819965e-05,3.089821655463459e-23,4.314225645844971e-22,2.7883495666182606e-19,0.0008086333048041428,2.544959918081609e-15,0.8101812364104736,0.12575366704374216,4.696613540681605e-24,4.704346364426635e-23,2.0549580818052442e-33,7.52085824474887e-27,3.349685900312407e-29,1.4543144629831672e-24,9.63491927519508e-13,2.8921705151582027e-18,1.0004807017096498e-07,0.18144920772141646,4.933400276530679e-09
boeck2015/tempodetector2016_default,5.646862238249664e-47,1.7228568300637556e-32,1.0,5.632907524806411e-13,2.5326891962067814e-36,3.0554882002890575e-29,9.440274241692034e-20,1.3151874833452017e-17,0.0005461126565933226,0.00642657609569142,0.00010604466626773493,1.1809998494304826e-21,2.7168525665310897e-08,3.0736620665074263e-27,8.935182693751111e-36,0.012540951371192932,0.0070003666914999485,1.0,0.05010245973244311,0.34492845088243484,0.020061607006937265,1.0171005283705421e-60,1.4486628888758494e-64,2.1017589913736112e-51,2.0932787880057786e-26,2.0835438409305688e-14
davies2009/mirex_qm_tempotracker,1.7517983982977945e-20,4.302531993798571e-08,5.632907524806411e-13,1.0,8.905412788391313e-15,6.30184822139229e-08,0.025485870689805384,0.12578642463893994,2.786234342464335e-07,2.746577112268215e-07,3.3282350170320614e-05,0.016488656727670158,0.029493493531317305,5.755949851954396e-07,6.702574716147074e-11,1.5129781377543393e-07,1.5849255649693016e-06,6.8137830126747114e-12,4.466174729063309e-09,8.957423581215872e-11,6.901424055611068e-09,1.0862758964368199e-32,6.886762836706678e-42,5.872069655377402e-28,1.2379986564076902e-05,0.9131160800723743
dixon2001/ismir2004_indu,0.09630369202868817,0.033171366239873934,2.5326891962067814e-36,8.905412788391313e-15,1.0,0.012935088125205411,3.2826127564903715e-09,1.0154648825778355e-09,4.3861338982444606e-31,3.536284111166547e-30,4.350270369024449e-26,8.701199017087825e-08,1.804138581015296e-20,0.012725353282910868,0.6298545390432018,1.0600626102415808e-30,3.806414299147001e-29,2.7373981238272033e-40,4.0125543027098475e-35,1.1851321278320511e-37,4.116489201690665e-33,2.704484788633552e-07,5.186649423959588e-13,0.0004270151731276699,0.00040464133707131267,6.830699309565678e-13
dixon2001/ismir2004_trac,7.331662450766643e-05,1.0,3.0554882002890575e-29,6.30184822139229e-08,0.012935088125205411,1.0,0.0005643890137352336,8.303070332644972e-05,5.681958337942571e-23,2.8158175808425007e-22,2.0761409799356786e-19,0.0012821837418053054,1.660195236674621e-13,0.8707092210836658,0.11722671962162286,1.9751293229358007e-22,6.354785400836387e-22,2.275272818294127e-31,5.928488920821206e-26,1.1498604677653178e-29,5.0549056627657954e-26,1.4015729126828505e-13,2.701371882462684e-19,1.573616898886598e-08,0.2104977000553339,2.2661010766019464e-08
dixon2003/ismir2004_auco,8.179618113006655e-12,0.001279954846993023,9.440274241692034e-20,0.025485870689805384,3.2826127564903715e-09,0.0005643890137352336,1.0,0.5228166539190886,1.847759178147877e-12,4.026516223148182e-12,1.8621521769948973e-09,0.928444041500591,4.153330286677669e-05,0.005959526470109121,3.255086041520198e-06,4.825421503937196e-13,4.698103109444036e-12,9.440274241692034e-20,1.8316192854098382e-14,1.2361586946455694e-17,1.0521598690598081e-14,1.8987708433081882e-22,2.288209594927752e-27,2.606816286436105e-16,0.049202789177490165,0.01422812844497971
echonest/version_3_2_1,2.630989000619228e-16,2.9389613464819965e-05,1.3151874833452017e-17,0.12578642463893994,1.0154648825778355e-09,8.303070332644972e-05,0.5228166539190886,1.0,1.333319322629872e-10,4.385784564177318e-10,7.836624631346798e-08,0.48392730444614596,0.00042246757669391993,0.00039731546668129265,3.940391791821776e-08,9.326266045667497e-12,9.176485495714727e-11,3.771119844136323e-18,1.376737090221594e-13,1.0521598690598081e-14,4.689760491914726e-12,6.462522406465644e-28,1.3782183283202203e-34,1.704956868242573e-18,0.0061393881438405,0.06995435858001035
gkiokas2012/default,9.02773018914314e-37,3.089821655463459e-23,0.0005461126565933226,2.786234342464335e-07,4.3861338982444606e-31,5.681958337942571e-23,1.847759178147877e-12,1.333319322629872e-10,1.0,0.9999999999999993,0.36037765293576723,4.2113505095150755e-13,0.005354859650800293,1.064932830264299e-21,1.3833392965568367e-28,0.5327092552361133,0.7607916425613435,0.0013187271542847159,0.28104151505976926,0.019157290458679185,0.4731296598911284,3.6733722262309523e-53,2.5252663870673127e-58,3.576648881089981e-45,5.109797372820076e-20,1.168811613236971e-06
klapuri2006/ismir2004,8.127113244139624e-36,4.314225645844971e-22,0.00642657609569142,2.746577112268215e-07,3.536284111166547e-30,2.8158175808425007e-22,4.026516223148182e-12,4.385784564177318e-10,0.9999999999999993,1.0,0.15158963203430173,4.026516223148182e-12,0.003793705635371606,1.5115278183336548e-19,2.8290471991413675e-27,0.6439689563703725,0.8829959121223956,0.00642657609569142,0.39152830513194264,0.05761267291381961,0.6439689563703725,1.0243381564737293e-48,2.2671117994794026e-54,5.1261876016104534e-42,7.369793042206749e-19,1.1097256727851058e-06
