Estimator,alonso2004/ismir2004_corr,alonso2004/ismir2004_spec,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,dixon2001/ismir2004_indu,dixon2001/ismir2004_trac,dixon2003/ismir2004_auco,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/ismir2004,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/ismir2004,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,tzanetakis2002/ismir2004_hist,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_msum,uhle2004/ismir2004,zplane/auftakt_v3
alonso2004/ismir2004_corr,1.0,4.9724092393796085e-09,2.257277055723501e-12,0.0036121921566404226,0.10680054104633872,7.279316804320033e-10,9.183971063585233e-14,8.276230626833721e-29,8.260782466493341e-16,1.889006492808146e-21,3.460664658223801e-22,6.513143736433205e-15,1.4777059552902044e-30,1.014509752978642e-08,2.328490313596607e-17,2.697171333940373e-44,2.824272188064076e-26,6.794301831053958e-27,2.3627100895456817e-27,1.8924315265399063e-27,3.3001040310629916e-19,6.898706971546965e-24,0.0016334224496667357,0.18519861506099777,0.0004034268498247023,2.499633450671563e-22
alonso2004/ismir2004_spec,4.9724092393796085e-09,1.0,0.4756892907455974,0.0042808931706492725,9.843501548817597e-13,2.5894942588184364e-26,8.671053035783783e-36,3.665086066772463e-09,0.03910981873303221,0.003501426686308023,0.0014250340461738355,0.34464569682919377,7.023251234771102e-08,0.7640322487485669,0.005331113057376783,6.966259167020402e-18,4.506799521786935e-06,1.3324756075245684e-07,1.639775147030857e-06,1.9656766350378845e-08,0.0068971526249722035,1.3292594892071745e-38,6.015605701002341e-16,2.743989577533947e-10,0.011428491086786402,0.0006885673526101572
boeck2015/tempodetector2016_default,2.257277055723501e-12,0.4756892907455974,1.0,3.89420356968332e-05,7.832400387293215e-17,7.399950102398103e-39,4.4316876719702735e-48,4.8566921157310415e-08,0.11320139104635782,0.0036598785535394644,0.001029989919206438,0.6841656079235661,1.1442480179594087e-07,0.27805460492048156,0.2223019625245889,1.8854891532653565e-19,4.914627818163795e-06,2.3850330218591366e-07,5.103919593723389e-07,4.09987877278635e-09,0.005806456186662282,8.80407540841117e-55,4.752152944812649e-26,3.2236723682181854e-15,0.00016836598216724016,0.0005796999592855365
davies2009/mirex_qm_tempotracker,0.0036121921566404226,0.0042808931706492725,3.89420356968332e-05,1.0,1.4927642641135603e-06,1.16549607878254e-22,2.3490810899262515e-26,2.0393124910528144e-16,8.811904625174063e-07,1.445314253778258e-18,4.523298841853833e-20,5.039696702961778e-09,1.8208224835370455e-21,0.004607073224196545,2.5314169596314843e-08,3.4564620623087042e-34,1.3067885626405945e-15,1.0817174071927492e-16,6.079671396238183e-18,1.1871288987865299e-16,1.3442467770584432e-12,6.258964041650714e-36,6.602878097100932e-15,2.46561078632449e-06,0.7178165486238105,1.164859465533951e-15
dixon2001/ismir2004_indu,0.10680054104633872,9.843501548817597e-13,7.832400387293215e-17,1.4927642641135603e-06,1.0,9.519446368830355e-07,3.589015401877095e-09,5.25807489331984e-32,2.0966107958665256e-20,1.904320147247874e-28,1.2790814942189046e-29,7.963541512287817e-19,2.0484813285819743e-34,2.7838205337187115e-13,1.4753426636964985e-19,9.02374691544275e-54,2.7833504503571504e-28,1.2575982807526718e-29,2.4796892648874675e-32,5.5584987014128035e-34,1.3308313848327656e-23,1.167070907581534e-19,0.08806287007958491,0.7788013163528625,3.5142832135037736e-07,2.1392088330725565e-29
dixon2001/ismir2004_trac,7.279316804320033e-10,2.5894942588184364e-26,7.399950102398103e-39,1.16549607878254e-22,9.519446368830355e-07,1.0,0.031586009744369876,4.84267919494133e-57,1.892370495317992e-43,5.04305603360593e-54,5.337615538969965e-55,8.626735607896498e-45,1.4766662294494522e-56,9.105698296759088e-26,8.451897538408278e-38,1.067397187298979e-77,1.032729524215805e-51,1.5477699592677984e-53,1.6843110738327583e-59,1.8300229332232319e-59,2.0304230084098937e-48,3.296964503917807e-07,0.0004066462390865413,1.5012059637788627e-07,5.481664647555043e-23,1.0313546137878509e-53
dixon2003/ismir2004_auco,9.183971063585233e-14,8.671053035783783e-36,4.4316876719702735e-48,2.3490810899262515e-26,3.589015401877095e-09,0.031586009744369876,1.0,3.286942876244137e-69,1.8235760305192013e-48,5.947564388136265e-63,2.5032811489431843e-65,9.306867932352284e-56,2.3607196361792245e-66,3.5931165327087285e-37,6.476426312932672e-46,1.7553705827620226e-88,3.4584564846878435e-62,8.008610282926852e-66,4.5081181557619307e-72,1.7283528036568162e-72,2.399273207484645e-62,2.035728179017026e-05,1.0243263503470425e-05,2.50986300810432e-09,4.945471091595848e-27,1.0860452753577356e-64
echonest/version_3_2_1,8.276230626833721e-29,3.665086066772463e-09,4.8566921157310415e-08,2.0393124910528144e-16,5.25807489331984e-32,4.84267919494133e-57,3.286942876244137e-69,1.0,1.632989883978643e-05,0.0009873654608535682,0.0027811019006296176,4.5065041081416896e-08,0.38448541476805165,3.6085676268911565e-10,0.00673887579219956,0.0005568220321447313,0.16244118042518174,0.48247045995822346,0.20287933930839144,0.9811449482008678,0.0006093061868029707,1.120258778364367e-64,3.642764644405016e-40,1.0323987582590995e-30,6.097797497736454e-17,0.0032040496944753557
gkiokas2012/default,8.260782466493341e-16,0.03910981873303221,0.11320139104635782,8.811904625174063e-07,2.0966107958665256e-20,1.892370495317992e-43,1.8235760305192013e-48,1.632989883978643e-05,1.0,0.2594561985996013,0.14155847490404383,0.24507998603147388,0.0001270556299326247,0.019556602485771422,0.5817397182017077,7.09693167595054e-14,0.0029422940216442734,0.00020802867742164113,0.0008239437219148186,1.7085353827335937e-05,0.30251699653606373,1.2536401985164517e-55,1.1702391943929783e-29,1.9021659431306434e-19,2.21993926917941e-07,0.07419237569725634
klapuri2006/ismir2004,1.889006492808146e-21,0.003501426686308023,0.0036598785535394644,1.445314253778258e-18,1.904320147247874e-28,5.04305603360593e-54,5.947564388136265e-63,0.0009873654608535682,0.2594561985996013,1.0,0.09884579349483628,0.00011146624125379561,0.0001668148188492612,0.00022209808901290672,0.19326113421186314,1.4289165436704565e-14,0.02631086783016376,0.0034530665753321477,0.013247286960409624,0.0006961472018851475,0.9466967195134439,3.5287836691437256e-67,4.168917601448157e-44,9.273504402682113e-26,2.7533731858119025e-14,0.38217146506167765
