Estimator,Size,Min,Max,Avg,Stdev,Sweet Oct. Start,Sweet Oct. Coverage
alonso2004/ismir2004_corr,465,57.7839,245.8873,131.76409182795697,49.75937598343491,92.0,0.5956989247311828
alonso2004/ismir2004_spec,465,0.0,249.1699,105.41817698924731,46.75751521573149,61.0,0.5870967741935483
boeck2015/tempodetector2016_default,465,45.11,240.0,120.93468817204301,37.08847449644801,79.0,0.7612903225806451
davies2009/mirex_qm_tempotracker,465,65.4173,246.094,126.7464735483871,31.619147170757174,84.0,0.864516129032258
dixon2001/ismir2004_indu,465,50.089,248.802,127.37898064516129,53.03486996593377,91.0,0.5118279569892473
dixon2001/ismir2004_trac,465,0.0,248.466,152.1009075268817,52.43291333211979,121.0,0.7634408602150538
dixon2003/ismir2004_auco,465,60.0,249.0,163.3763440860215,44.85112201593452,124.0,0.8064516129032258
echonest/version_3_2_1,465,53.586,198.286,99.02809462365592,30.861592298415406,64.0,0.7569892473118279
gkiokas2012/default,465,0.0,248.0,114.05376344086021,36.69890466026043,76.0,0.7397849462365591
klapuri2006/ismir2004,465,66.0,164.0,111.45161290322581,21.14335110346314,79.0,0.9634408602150538
klapuri2006/percival2014,465,0.0,164.0625,110.59617296559139,21.23755179216352,76.0,0.9655913978494624
oliveira2010/ibt,465,81.0,161.0,115.72043010752688,21.856489996955656,81.0,1.0
percival2014/stem,465,51.5508,159.014,101.36320086021506,22.213530308680212,70.0,0.8946236559139785
scheirer1998/ismir2004,465,51.5038,220.0,106.07593913978495,35.85341559964576,66.0,0.6903225806451613
scheirer1998/percival2014,465,0.0,181.818,93.2425552688172,41.54050172211218,77.0,0.7032258064516129
schreiber2014/default,465,43.489605,161.4596,97.19292295698925,21.574169995876257,68.0,0.8924731182795699
schreiber2017/ismir2017,465,39.980473,172.30241,102.28678447311827,29.089338006977112,80.0,0.7784946236559139
schreiber2017/mirex2017,465,38.06819,161.4596,100.3177774623656,29.39310103110169,80.0,0.7569892473118279
schreiber2018/cnn,465,43.0,224.0,109.8021505376344,31.021676162273128,76.0,0.8021505376344086
schreiber2018/fcn,465,45.0,224.0,106.1247311827957,33.86843095714211,68.0,0.7333333333333333
schreiber2018/ismir2018,465,54.0,224.0,112.95483870967742,28.95597325417977,77.0,0.864516129032258
tzanetakis2002/ismir2004_hist,465,50.0,249.0,172.5505376344086,75.10697919676822,125.0,0.6559139784946236
tzanetakis2002/ismir2004_mmul,465,52.0,240.0,140.89247311827958,45.67446241062739,113.0,0.6666666666666666
tzanetakis2002/ismir2004_msum,465,50.0,248.0,135.23225806451612,53.03241762585979,117.0,0.5483870967741935
uhle2004/ismir2004,465,51.0,248.0,119.76559139784946,41.22743503667642,77.0,0.7397849462365591
zplane/auftakt_v3,465,0.0,164.5,108.98408602150538,24.097570266547727,79.0,0.8903225806451613
