Item,Reference,Estimate
TRAEMIU128F14641D6.jams,81.06494,162
TRAJZLQ128F424E12B.jams,95.49576,191
TRARQNM128F92E1E52.jams,138.66994,69
TRATMIZ128F428E152.jams,78.50209,158
TRAWBPY128F425512E.jams,132.63737,66
TRBBQPP128F92EE611.jams,148.7242,75
TRBISBN128F4267AB6.jams,68.44783,101
TRBRSTH128F4296255.jams,91.15863,61
TRCFKSY128F14B0FA5.jams,120.53284,60
TRCJRZW128F930113B.jams,74.71696,148
TRCKPMP128F423984C.jams,54.411293,107
TRCSBQX12903CFA040.jams,64.89927,97
TRCTXPG128F93110DF.jams,124.00254,62
TRCZPZN12903CBE6E0.jams,139.8528,70
TRDIVOV12903CEC94D.jams,87.49178,175
TRDPTCF128F93002CE.jams,131.17853,108
TRDQJNZ128F42ADC3A.jams,140.01051,70
TRDTROU12903CF66A3.jams,80.43408,161
TRDWVQX128F9335CED.jams,58.984993,77
TRDXYDY128F9341F9B.jams,135.9888,68
TREATBL12903D0D961.jams,82.01122,164
TREKNXA12903CF9D36.jams,74.99296,150
TRENOOE128F148EF23.jams,87.09749,175
TREQFQU128E078FE79.jams,129.95624,65
TRETAHF128F425309E.jams,126.24996,119
TREVDQG128F9324474.jams,81.45922,163
TRFCYLY128F9301FE4.jams,137.99965,69
TRFKJRY128F9309404.jams,125.02769,63
TRFKYHS128F933ED6B.jams,82.48437,165
TRFLOIB128F9303329.jams,91.04034,184
TRFPDPQ12903CA9803.jams,124.59397,130
TRFQQHU128F42917D4.jams,124.04197,62
TRFVALX12903CCE1AB.jams,99.04433,200
TRFVTHA128F9335A02.jams,67.974686,136
TRFWOOG128F1485DA5.jams,82.09008,163
TRFYUKH128F42B0BDA.jams,59.734135,121
TRFZNYG128F92D12DC.jams,149.23677,74
TRGBTIM128F427FFF0.jams,69.98554,141
TRGGMLF128F92F0F2C.jams,140.01051,70
TRGJCMA128F9329F8A.jams,111.66144,224
TRGKGAA128F147706C.jams,127.59054,138
TRGKPFN128F934264B.jams,100.069466,200
TRGLTOZ128F425D018.jams,54.923862,110
TRGSBNZ12903CD668D.jams,56.02786,112
TRHDQEL128F9333D5E.jams,99.39918,202
TRHIUNV12903CA8682.jams,59.458138,119
TRHLNPA128F933AC47.jams,139.93164,70
TRHPYAU128F423B71A.jams,100.14832,200
TRHTTBG128F145BCC8.jams,142.17908,71
TRHWAYC128F42AC21A.jams,128.9311,65
TRHZJHM128F14ABBEF.jams,131.61223,66
TRIAVLT128F4215C89.jams,65.29355,130
TRIEBYZ128F1463832.jams,65.96383,132
TRIIPKC128F4286D41.jams,112.450005,224
TRILCTP128F931B07F.jams,87.88606,177
TRINNMP12903CC4C64.jams,70.97125,112
TRIRCFN128F4280243.jams,76.25467,58
TRIZKUL128F429FD1F.jams,81.41979,163
TRJKMZP12903CC30B1.jams,140.01051,70
TRJOHGG128F92F12B9.jams,78.89637,157
TRJPAXC128F429F8EB.jams,128.14253,64
TRJRIYC128F426DF7F.jams,93.09062,187
TRJRYWV128F92DE5BA.jams,128.57625,64
TRJTIIF128F92F41CB.jams,137.88136,46
TRJUJAH128F425A752.jams,111.109436,74
TRJUJSM128E0783940.jams,68.05354,121
TRKDPYM128F4259DBC.jams,82.01122,164
TRKFJWS128F931227F.jams,87.2552,175
TRKFVOO12903CA2548.jams,140.32594,70
TRKFZAW12903CB5ECF.jams,64.03184,128
TRKGVWI128F92EB746.jams,98.6106,198
TRKUWVV128F4268367.jams,44.63303,84
TRLJEVL128F4281984.jams,74.83524,94
TRLLLKU128F425FF8B.jams,47.70845,232
TRLLYMC128F146EB42.jams,69.47297,104
TRLQKRP128F42450AC.jams,148.05392,74
TRMACDK128F42150C1.jams,88.67463,179
TRMCPQK128F42ADF25.jams,66.042694,132
TRMRFOY128F4289767.jams,67.77755,135
TRMYINP128F4299010.jams,81.53808,163
TRNDIHK128F933927A.jams,59.655277,119
TRNJIFL128F4244ED1.jams,154.28362,77
TRNUCBG128F92DE30C.jams,64.97812,91
TRNUKNP128F933D7F7.jams,69.03926,138
TRNWQBX12903CAD7C5.jams,144.03221,72
TRODJGG128F421C375.jams,139.93164,70
TROIKYU128F1453821.jams,126.052826,63
TRORHHG128F931A1E7.jams,122.54369,61
TRORMQR12903CB428E.jams,74.28324,148
TROTQOU12903CCE730.jams,65.96383,132
TROZPHT128F92DE66F.jams,92.73576,186
TRPCHNS128F930B9FD.jams,139.14308,68
TRPPZLX128F4241632.jams,83.47007,167
TRPQGLP128F42BA5AE.jams,56.02786,112
TRPSENF128F145845E.jams,95.9689,91
TRPUELS128F426BF55.jams,126.052826,84
TRPWJXV128F932A676.jams,137.99965,69
TRQGJPU128F1484EF8.jams,95.37748,91
TRQJELY12903CFE728.jams,142.02135,71
TRQPWTF128F42AC76F.jams,126.24996,63
TRQVYHO128F42952CC.jams,136.85623,69
TRQWWJS12903CC466C.jams,140.12878,70
TRREOIR128F145A704.jams,155.11162,77
TRRFHHI12903CCD7F6.jams,81.9718,163
TRRGEJM128F1480E86.jams,81.02551,162
TRRICCN12903CB4245.jams,139.97108,70
TRRIIUM128F92FDD12.jams,144.22934,72
TRRQFCW128F92E0F59.jams,122.97741,82
TRRQSYC128F92DF7C8.jams,87.57063,175
TRSDUVX128F42568A6.jams,88.00435,176
TRSFFQJ128F9328ED4.jams,146.00363,73
TRSNRRL128F4280E31.jams,82.60265,77
TRSSMBI128F9342CDA.jams,121.24255,81
TRSSSJW128F146D5DC.jams,80.986084,162
TRSTTDU128F4272F02.jams,65.29355,130
TRSXTRQ128F4296AD7.jams,124.081406,41
TRSXUZT128F425DB72.jams,147.54135,110
TRTTUGT128F429643C.jams,98.57118,198
TRTUCHS128F1459CF2.jams,96.28433,191
TRTUEZH12903CCA1BB.jams,91.75006,184
TRUCJXC128F425C402.jams,107.04831,216
TRUEKAD128F146DCC7.jams,89.66035,179
TRUFMSK128F9335254.jams,89.66035,180
TRUGNHB12903CEBAE6.jams,127.98483,64
TRUMGSR128F428F2E2.jams,151.95734,76
TRUNATG128F427F144.jams,74.756386,150
TRUONIG12903CD80C3.jams,98.7289,66
TRUXEQV12903CD1B76.jams,60.246704,120
TRVDPFA128F4276455.jams,149.94649,75
TRVDTBN128F42AE43A.jams,128.14253,64
TRVFPHB128F4259077.jams,135.94937,68
TRVILAN128F42B635B.jams,113.19915,76
TRVIYCB12903D084D8.jams,147.85678,74
TRVKVHJ12903CF3934.jams,161.42017,84
TRVNVPY128F427A16F.jams,59.93128,120
TRVQBRZ128F423EEDC.jams,97.861465,193
TRVWPTZ128F1498A48.jams,64.741554,90
TRVYIPA128F429F583.jams,110.32087,120
TRWBRQF128F92C64D6.jams,125.7374,63
TRWDVQL128F423605D.jams,70.14326,141
TRWDYGV128F92EDBF6.jams,44.43589,88
