Item,Reference,Estimate
RM-C001.jams,292.68292682927074,65.13583
RM-C003.jams,193.54838709677279,90.21234
RM-C004.jams,48.9796825020732,110.71515
RM-C005.jams,124.35233160621718,65.03727
RM-C006.jams,54.42176870748286,87.68892
RM-C008.jams,285.71428571428453,73.73125
RM-C009.jams,55.045871559633056,71.44439
RM-C010.jams,192.51336898395675,84.0615
RM-C011.jams,72.28915662650576,81.69579
RM-C013.jams,129.72972972973014,92.026054
RM-C015.jams,70.03891050583677,65.25413
RM-C016.jams,61.855670103092855,57.56557
RM-C018.jams,299.99999999999574,79.54694
RM-C019.jams,121.827411167511,63.992416
RM-C020.jams,56.96202531645524,63.0067
RM-C021.jams,57.34767025089602,99.04433
RM-C025_D.jams,70.07314203877038,67.10726
RM-C026.jams,105.72710022425389,95.10148
RM-C027.jams,125.87412587412652,49.936157
RM-C028.jams,114.28571428571304,68.58583
RM-C029.jams,58.679706601467,75.50553
RM-C030.jams,38.4,59.06385
RM-C031.jams,37.974683544303836,108.58601
RM-C032.jams,92.30769230769201,69.0984
RM-C033.jams,83.33333333333236,77.27981
RM-C035_B.jams,67.92452830188701,71.12897
RM-C035_C.jams,68.44106463878339,72.272385
RM-C036.jams,66.29834254143638,72.96239
RM-C038.jams,90.68067610781148,110.39972
RM-C040.jams,59.25925925925918,63.775555
RM-C041.jams,70.38123167155425,75.30838
RM-C043.jams,130.19934076283155,71.38525
RM-C050.jams,159.46843853820647,86.506065
