Item,Reference,Estimate
RM-C001.jams,292.68292682927074,50.11359
RM-C003.jams,193.54838709677279,49.36445
RM-C004.jams,48.9796825020732,64.34727
RM-C006.jams,54.42176870748286,59.655277
RM-C008.jams,285.71428571428453,71.05011
RM-C009.jams,55.045871559633056,41.321037
RM-C011.jams,72.28915662650576,45.579315
RM-C021.jams,57.34767025089602,126.32883
RM-C028.jams,114.28571428571304,120.80884
RM-C029.jams,58.679706601467,70.576965
RM-C030.jams,38.4,125.02769
RM-C031.jams,37.974683544303836,155.22989
RM-C032.jams,92.30769230769201,138.82765
RM-C033.jams,83.33333333333236,87.21578
RM-C034.jams,181.81818181818164,95.890045
RM-C035_A.jams,64.98194945848377,69.47297
RM-C035_B.jams,67.92452830188701,71.602104
RM-C036.jams,66.29834254143638,63.637554
RM-C037.jams,243.24324324324328,40.21704
RM-C038.jams,90.68067610781148,143.08592
RM-C039.jams,74.53416149068326,82.6815
RM-C040.jams,59.25925925925918,140.32594
RM-C041.jams,70.38123167155425,155.58475
RM-C043.jams,130.19934076283155,139.8528
RM-C048.jams,57.14285714285704,47.156452
RM-C050.jams,159.46843853820647,96.99404
