Item,Reference,Estimate
RM-C001.jams,292.68292682927074,97
RM-C002.jams,212.3893805309743,108
RM-C003.jams,193.54838709677279,96
RM-C004.jams,48.9796825020732,87
RM-C006.jams,54.42176870748286,87
RM-C008.jams,285.71428571428453,71
RM-C009.jams,55.045871559633056,84
RM-C010.jams,192.51336898395675,205
RM-C014.jams,179.10447761193984,91
RM-C015.jams,70.03891050583677,81
RM-C016.jams,61.855670103092855,121
RM-C018.jams,299.99999999999574,84
RM-C019.jams,121.827411167511,60
RM-C020.jams,56.96202531645524,116
RM-C021.jams,57.34767025089602,84
RM-C023_D.jams,146.34146341463367,77
RM-C024_B.jams,145.1612903225804,73
RM-C025_A.jams,75.47169811320755,151
RM-C025_B.jams,52.863436123348066,108
RM-C025_D.jams,70.07314203877038,139
RM-C026.jams,105.72710022425389,139
RM-C029.jams,58.679706601467,77
RM-C030.jams,38.4,67
RM-C031.jams,37.974683544303836,116
RM-C032.jams,92.30769230769201,139
RM-C034.jams,181.81818181818164,97
RM-C035_A.jams,64.98194945848377,71
RM-C035_B.jams,67.92452830188701,71
RM-C036.jams,66.29834254143638,135
RM-C037.jams,243.24324324324328,121
RM-C038.jams,90.68067610781148,116
RM-C040.jams,59.25925925925918,130
RM-C041.jams,70.38123167155425,84
RM-C043.jams,130.19934076283155,71
RM-C044.jams,210.52631578947359,104
RM-C045.jams,58.631921824104225,177
RM-C047.jams,68.44106463878339,135
RM-C048.jams,57.14285714285704,90
RM-C050.jams,159.46843853820647,94
