T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
55.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0
56.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111
57.0,0.4,0.1,0.3,0.4,0.3,0.3,0.2,0.3,0.2
58.0,0.4166666666666667,0.08333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25
59.0,0.4166666666666667,0.08333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25
60.0,0.4166666666666667,0.08333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25
61.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.3076923076923077
62.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.3076923076923077
63.0,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.2857142857142857
64.0,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.2857142857142857
65.0,0.4375,0.1875,0.375,0.4375,0.3125,0.3125,0.3125,0.375,0.3125
66.0,0.5555555555555556,0.2222222222222222,0.5,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444
67.0,0.5555555555555556,0.2222222222222222,0.5,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444
68.0,0.6111111111111112,0.2222222222222222,0.5,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444
69.0,0.631578947368421,0.21052631578947367,0.5263157894736842,0.631578947368421,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.47368421052631576
70.0,0.6842105263157895,0.21052631578947367,0.5789473684210527,0.6842105263157895,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.5263157894736842
71.0,0.6842105263157895,0.21052631578947367,0.5789473684210527,0.6842105263157895,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.5263157894736842
72.0,0.7,0.2,0.6,0.7,0.5,0.55,0.55,0.6,0.55
73.0,0.7,0.2,0.6,0.7,0.5,0.55,0.55,0.6,0.55
74.0,0.7272727272727273,0.18181818181818182,0.6818181818181818,0.6818181818181818,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5909090909090909
75.0,0.7142857142857143,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6190476190476191
76.0,0.6842105263157895,0.15789473684210525,0.6842105263157895,0.6842105263157895,0.5789473684210527,0.631578947368421,0.6842105263157895,0.631578947368421,0.631578947368421
77.0,0.6842105263157895,0.15789473684210525,0.6842105263157895,0.6842105263157895,0.631578947368421,0.631578947368421,0.6842105263157895,0.631578947368421,0.631578947368421
78.0,0.7058823529411765,0.17647058823529413,0.7647058823529411,0.7058823529411765,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.6470588235294118,0.6470588235294118
79.0,0.7058823529411765,0.17647058823529413,0.7647058823529411,0.7058823529411765,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.6470588235294118,0.6470588235294118
80.0,0.6666666666666666,0.16666666666666666,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.7222222222222222,0.6666666666666666,0.6666666666666666
81.0,0.7058823529411765,0.17647058823529413,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7647058823529411,0.7058823529411765,0.6470588235294118
82.0,0.7222222222222222,0.16666666666666666,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.6666666666666666
83.0,0.6666666666666666,0.16666666666666666,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.7222222222222222
84.0,0.6842105263157895,0.21052631578947367,0.7894736842105263,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.7894736842105263,0.7368421052631579
85.0,0.7619047619047619,0.19047619047619047,0.8095238095238095,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.8571428571428571,0.7619047619047619,0.7619047619047619
86.0,0.7222222222222222,0.16666666666666666,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.7222222222222222
87.0,0.7894736842105263,0.21052631578947367,0.8421052631578947,0.7368421052631579,0.7894736842105263,0.7894736842105263,0.8947368421052632,0.7894736842105263,0.7894736842105263
88.0,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.7222222222222222,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.8333333333333334,0.8333333333333334
89.0,0.7647058823529411,0.23529411764705882,0.8823529411764706,0.7058823529411765,0.8235294117647058,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.8235294117647058
90.0,0.7894736842105263,0.3157894736842105,0.8947368421052632,0.7368421052631579,0.8421052631578947,0.8421052631578947,0.9473684210526315,0.8421052631578947,0.8421052631578947
91.0,0.7894736842105263,0.3684210526315789,0.8947368421052632,0.7368421052631579,0.8421052631578947,0.8421052631578947,0.9473684210526315,0.8421052631578947,0.8421052631578947
92.0,0.7894736842105263,0.3684210526315789,0.8421052631578947,0.7368421052631579,0.8421052631578947,0.7894736842105263,0.9473684210526315,0.8421052631578947,0.8421052631578947
93.0,0.8,0.4,0.85,0.75,0.8,0.75,0.9,0.8,0.8
94.0,0.8333333333333334,0.4444444444444444,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.8888888888888888,0.8333333333333334,0.7777777777777778
95.0,0.8333333333333334,0.4444444444444444,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.8888888888888888,0.8333333333333334,0.7777777777777778
96.0,0.8823529411764706,0.47058823529411764,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.9411764705882353,0.8823529411764706,0.8235294117647058
97.0,0.875,0.5,0.875,0.75,0.8125,0.75,0.9375,0.875,0.8125
98.0,0.8823529411764706,0.5294117647058824,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.8235294117647058,0.7647058823529411
99.0,0.8888888888888888,0.5555555555555556,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.7777777777777778
100.0,0.9,0.65,0.85,0.8,0.9,0.85,0.85,0.8,0.75
101.0,0.8260869565217391,0.6956521739130435,0.8695652173913043,0.782608695652174,0.9130434782608695,0.8695652173913043,0.8695652173913043,0.8260869565217391,0.782608695652174
102.0,0.8181818181818182,0.7272727272727273,0.8636363636363636,0.7727272727272727,0.9090909090909091,0.8636363636363636,0.8636363636363636,0.8181818181818182,0.7727272727272727
103.0,0.8181818181818182,0.7727272727272727,0.9090909090909091,0.7727272727272727,0.9090909090909091,0.8636363636363636,0.8636363636363636,0.8181818181818182,0.7727272727272727
104.0,0.8260869565217391,0.782608695652174,0.9130434782608695,0.782608695652174,0.9130434782608695,0.8695652173913043,0.8695652173913043,0.8260869565217391,0.782608695652174
105.0,0.7894736842105263,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.9473684210526315,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.7894736842105263
106.0,0.8095238095238095,0.8571428571428571,0.9047619047619048,0.8095238095238095,0.9523809523809523,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095
107.0,0.7894736842105263,0.8947368421052632,0.8947368421052632,0.7894736842105263,0.9473684210526315,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.7894736842105263
108.0,0.8,0.9,0.9,0.8,0.95,0.9,0.85,0.85,0.8
109.0,0.8095238095238095,0.9047619047619048,0.9047619047619048,0.8095238095238095,0.9523809523809523,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095
110.0,0.8214285714285714,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8928571428571429,0.8571428571428571
111.0,0.8148148148148148,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8518518518518519
112.0,0.75,0.8928571428571429,0.8928571428571429,0.7857142857142857,0.8928571428571429,0.8928571428571429,0.8214285714285714,0.8214285714285714,0.7857142857142857
113.0,0.7407407407407407,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8148148148148148
114.0,0.7142857142857143,0.9285714285714286,0.8928571428571429,0.8214285714285714,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571
