Item,cvar,1.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
RM-G032.jams,0.03534258626368601,45.28301886792454,92.2852,90,90,91,90.6661,90.685486,90.685486,90.91,88.99006
RM-G037.jams,0.017189807154048893,56.872037914691575,114.844,112,113,113,113.582,113.63286,113.63286,113.21,114.34257
RM-G047.jams,0.01936527375383917,57.41626794258403,117.454,116,114,115,114.844,114.658,114.658,115.38,114.81571
RM-G052.jams,0.27278968172451384,235.80786026200735,123.047,116,121,120,118.804,61.942135,61.942135,120.0,121.83397
RM-G058_A.jams,0.05616320297505666,121.2121212121214,132.512,132,129,130,130.835,130.98138,130.98138,130.43,65.234406
RM-G058_C.jams,0.08384666276059234,65.2173913043477,123.047,122,122,120,122.319,121.04542,121.04542,122.45,122.30713
RM-G060.jams,0.0774060205657625,30.1507537688443,129.199,60,121,123,126.821,122.70141,122.70141,122.45,59.615852
RM-G063.jams,0.26417001622878133,121.89616252821652,147.656,74,67,97,147.656,78.62038,78.62038,71.43,62.809555
RM-G079.jams,0.431306700803655,85.30805687203794,114.844,67,67,90,137.812,64.6627,64.6627,65.22,108.62544
RM-G085.jams,0.2612812759206259,76.43622200584224,151.999,87,87,84,93.1166,42.740463,85.48093,41.1,59.37928
RM-G089.jams,0.27401879998702383,67.41573033707861,151.999,76,77,77,77.4228,133.58366,133.58366,70.59,78.46266
RM-G095.jams,0.29850433776736396,55.29953917050687,151.999,148,77,87,85.421,76.25467,76.25467,45.11,66.63412
RM-G097.jams,0.16707453879119508,32.67530445420675,120.185,74,74,108,70.5525,42.267323,42.267323,74.07,58.176712
RM-G098.jams,0.19029246212637668,38.834951456310634,95.7031,76,67,87,83.3543,40.53247,40.53247,86.96,127.27511
