Item,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
RM-J001.jams,True,True,True,True,True,True
RM-J002.jams,True,True,True,True,True,True
RM-J003.jams,True,True,True,True,True,True
RM-J004.jams,True,True,True,True,True,True
RM-J005.jams,True,True,False,False,True,False
RM-J006.jams,True,True,True,True,True,True
RM-J007.jams,True,True,True,True,True,True
RM-J008.jams,True,True,True,True,True,True
RM-J009.jams,True,True,True,True,True,False
RM-J010.jams,True,True,True,True,True,True
RM-J011.jams,True,True,True,True,True,False
RM-J012.jams,True,True,True,True,True,True
RM-J013.jams,False,True,True,True,True,False
RM-J014.jams,False,True,True,True,True,True
RM-J015.jams,True,True,True,True,True,False
RM-J016.jams,True,True,True,True,True,True
RM-J017.jams,True,True,True,True,True,True
RM-J018.jams,False,True,True,True,True,True
RM-J019.jams,True,True,True,True,True,False
RM-J020.jams,True,True,True,True,True,False
RM-J021.jams,True,True,True,True,True,True
RM-J022.jams,True,True,True,True,True,False
RM-J023.jams,True,True,True,True,True,False
RM-J024.jams,True,True,True,True,True,True
RM-J025.jams,True,True,False,False,True,False
RM-J026.jams,True,True,True,True,True,True
RM-J027.jams,True,True,True,True,True,True
RM-J028.jams,True,True,True,True,True,True
RM-J029.jams,True,True,True,True,True,True
RM-J030.jams,True,True,False,False,True,False
RM-J031.jams,False,True,True,True,True,True
RM-J032.jams,True,True,True,True,True,True
RM-J033.jams,True,True,True,True,True,True
RM-J034.jams,True,True,True,True,True,True
RM-J035.jams,True,True,True,True,True,False
RM-J036.jams,True,True,True,True,True,False
RM-J037.jams,True,True,True,True,True,True
RM-J038.jams,True,True,True,True,True,True
RM-J039.jams,True,True,True,True,True,True
RM-J040.jams,True,True,True,True,True,True
RM-J041.jams,True,True,True,True,True,True
RM-J042.jams,True,True,True,True,True,True
RM-J043.jams,True,True,True,True,True,True
RM-J044.jams,False,False,False,False,False,True
RM-J045.jams,True,True,True,True,True,True
RM-J046.jams,True,True,True,True,True,True
RM-J047.jams,True,True,True,True,True,True
RM-J048.jams,True,True,True,True,True,True
RM-J049.jams,True,True,True,True,True,True
RM-J050.jams,True,True,True,True,True,True
