Item,Reference,Estimate
RM-J005.jams,120.0,73.73125
RM-J008.jams,60.0,120.02027
RM-J009.jams,63.829787234042705,77.930374
RM-J010.jams,115.38461538461574,57.90071
RM-J011.jams,99.17355371900878,94.628334
RM-J013.jams,90.90909090909138,86.58492
RM-J015.jams,126.76056338028152,80.355225
RM-J019.jams,92.3076923076925,86.34836
RM-J020.jams,70.8661417322837,101.52832
RM-J022.jams,58.67970660146695,55.75186
RM-J023.jams,87.59124087591212,82.01122
RM-J024.jams,72.28915662650493,141.82422
RM-J025.jams,90.4522613065324,113.86943
RM-J030.jams,93.26424870466289,118.285416
RM-J031.jams,45.454545454545446,92.26263
RM-J035.jams,135.33834586466327,89.58149
RM-J036.jams,136.36363636363558,88.31978
RM-J038.jams,62.50000000000018,123.805405
RM-J040.jams,63.49206349206395,123.72654
RM-J044.jams,37.26708074534163,114.57914
RM-J046.jams,151.89873417721535,75.99838
RM-J050.jams,157.8947368421057,78.99495
