Item,Reference,Estimate
RM-J001.jams,80.5369127516789,164
RM-J003.jams,96.0,100
RM-J006.jams,80.0,160
RM-J008.jams,60.0,121
RM-J009.jams,63.829787234042705,129
RM-J015.jams,126.76056338028152,43
RM-J016.jams,102.56410256410366,208
RM-J017.jams,57.692307692307814,116
RM-J020.jams,70.8661417322837,74
RM-J021.jams,104.3478260869573,208
RM-J024.jams,72.28915662650493,144
RM-J028.jams,71.00591715976341,143
RM-J030.jams,93.26424870466289,97
RM-J031.jams,45.454545454545446,181
RM-J035.jams,135.33834586466327,90
RM-J036.jams,136.36363636363558,90
RM-J038.jams,62.50000000000018,125
RM-J040.jams,63.49206349206395,124
RM-J044.jams,37.26708074534163,97
RM-J046.jams,151.89873417721535,76
RM-J050.jams,157.8947368421057,79
