Item,Reference,Estimate
RM-P001.jams,135.0,67.42
RM-P003.jams,111.0,54.05
RM-P005.jams,135.0,67.42
RM-P010.jams,125.0,61.86
RM-P012.jams,120.0,60.0
RM-P015.jams,132.0,65.93
RM-P018.jams,112.0,56.07
RM-P020.jams,134.0,65.93
RM-P022.jams,135.0,67.42
RM-P023.jams,132.0,65.93
RM-P027.jams,124.0,61.86
RM-P028.jams,109.0,54.55
RM-P029.jams,103.0,51.72
RM-P031.jams,129.0,64.52
RM-P033.jams,108.0,54.05
RM-P034.jams,93.0,46.51
RM-P037.jams,184.0,92.31
RM-P041.jams,200.0,100.0
RM-P044.jams,124.0,61.86
RM-P049.jams,100.0,50.0
RM-P053.jams,132.0,65.93
RM-P060.jams,148.0,74.07
RM-P061.jams,121.0,60.61
RM-P063.jams,126.0,41.96
RM-P072.jams,76.0,83.33
RM-P073.jams,144.0,75.0
RM-P074.jams,94.0,46.88
RM-P075.jams,108.0,54.05
RM-P077.jams,120.0,60.0
RM-P084.jams,138.0,68.97
RM-P087.jams,90.0,45.11
RM-P091.jams,124.0,61.86
RM-P093.jams,90.0,45.11
RM-P095.jams,161.0,82.19
RM-P097.jams,91.0,187.5
