Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.08,0.0,0.0,0.0,0.0,0.0
0.0005,0.49,0.01,0.15,0.23,0.3,0.3
0.001,0.49,0.01,0.32,0.46,0.46,0.46
0.0015,0.49,0.03,0.57,0.67,0.76,0.76
0.002,0.5,0.05,0.75,0.79,0.84,0.84
0.0025,0.5,0.05,0.87,0.88,0.94,0.94
0.003,0.53,0.05,0.9,0.92,1.0,1.0
0.0035,0.57,0.07,0.93,0.93,1.0,1.0
0.004,0.7,0.1,0.97,0.93,1.0,1.0
0.0045,0.78,0.1,0.98,0.93,1.0,1.0
0.005,0.8,0.16,0.99,0.93,1.0,1.0
0.0055,0.88,0.16,0.99,0.94,1.0,1.0
0.006,0.93,0.16,0.99,0.94,1.0,1.0
0.0065,0.93,0.16,0.99,0.94,1.0,1.0
0.007,0.96,0.16,0.99,0.94,1.0,1.0
0.0075,0.97,0.17,1.0,0.94,1.0,1.0
0.008,0.97,0.18,1.0,0.94,1.0,1.0
0.0085,0.97,0.22,1.0,0.94,1.0,1.0
0.009,0.98,0.32,1.0,0.94,1.0,1.0
0.0095,0.98,0.35,1.0,0.94,1.0,1.0
0.01,0.98,0.38,1.0,0.94,1.0,1.0
0.0105,0.98,0.4,1.0,0.94,1.0,1.0
0.011,0.98,0.4,1.0,0.94,1.0,1.0
0.0115,0.99,0.4,1.0,0.94,1.0,1.0
0.012,0.99,0.4,1.0,0.94,1.0,1.0
0.0125,1.0,0.42,1.0,0.94,1.0,1.0
0.013,1.0,0.43,1.0,0.94,1.0,1.0
0.0135,1.0,0.48,1.0,0.94,1.0,1.0
0.014,1.0,0.5,1.0,0.95,1.0,1.0
0.0145,1.0,0.53,1.0,0.95,1.0,1.0
0.015,1.0,0.56,1.0,0.95,1.0,1.0
0.0155,1.0,0.59,1.0,0.95,1.0,1.0
0.016,1.0,0.59,1.0,0.95,1.0,1.0
0.0165,1.0,0.6,1.0,0.95,1.0,1.0
0.017,1.0,0.64,1.0,0.95,1.0,1.0
0.0175,1.0,0.7,1.0,0.95,1.0,1.0
0.018,1.0,0.71,1.0,0.95,1.0,1.0
0.0185,1.0,0.72,1.0,0.95,1.0,1.0
0.019,1.0,0.76,1.0,0.95,1.0,1.0
0.0195,1.0,0.76,1.0,0.95,1.0,1.0
0.02,1.0,0.77,1.0,0.95,1.0,1.0
0.0205,1.0,0.77,1.0,0.95,1.0,1.0
0.021,1.0,0.77,1.0,0.96,1.0,1.0
0.0215,1.0,0.81,1.0,0.96,1.0,1.0
0.022,1.0,0.81,1.0,0.96,1.0,1.0
0.0225,1.0,0.81,1.0,0.96,1.0,1.0
0.023,1.0,0.87,1.0,0.96,1.0,1.0
0.0235,1.0,0.87,1.0,0.96,1.0,1.0
0.024,1.0,0.87,1.0,0.96,1.0,1.0
0.0245,1.0,0.88,1.0,0.96,1.0,1.0
0.025,1.0,0.88,1.0,0.96,1.0,1.0
0.0255,1.0,0.92,1.0,0.96,1.0,1.0
0.026,1.0,0.96,1.0,0.96,1.0,1.0
0.0265,1.0,0.96,1.0,0.96,1.0,1.0
0.027,1.0,0.96,1.0,0.96,1.0,1.0
0.0275,1.0,0.96,1.0,0.96,1.0,1.0
0.028,1.0,0.96,1.0,0.96,1.0,1.0
0.0285,1.0,0.97,1.0,0.96,1.0,1.0
0.029,1.0,0.97,1.0,0.96,1.0,1.0
0.0295,1.0,0.97,1.0,0.96,1.0,1.0
0.03,1.0,0.97,1.0,0.96,1.0,1.0
0.0305,1.0,0.97,1.0,0.96,1.0,1.0
0.031,1.0,0.99,1.0,0.96,1.0,1.0
0.0315,1.0,0.99,1.0,0.96,1.0,1.0
0.032,1.0,0.99,1.0,0.96,1.0,1.0
0.0325,1.0,0.99,1.0,0.96,1.0,1.0
0.033,1.0,0.99,1.0,0.96,1.0,1.0
0.0335,1.0,0.99,1.0,0.96,1.0,1.0
0.034,1.0,0.99,1.0,0.96,1.0,1.0
0.0345,1.0,0.99,1.0,0.96,1.0,1.0
0.035,1.0,0.99,1.0,0.96,1.0,1.0
0.0355,1.0,0.99,1.0,0.96,1.0,1.0
0.036,1.0,0.99,1.0,0.96,1.0,1.0
0.0365,1.0,0.99,1.0,0.96,1.0,1.0
0.037,1.0,0.99,1.0,0.96,1.0,1.0
0.0375,1.0,0.99,1.0,0.96,1.0,1.0
0.038,1.0,0.99,1.0,0.96,1.0,1.0
0.0385,1.0,0.99,1.0,0.96,1.0,1.0
0.039,1.0,0.99,1.0,0.96,1.0,1.0
0.0395,1.0,0.99,1.0,0.96,1.0,1.0
0.04,1.0,0.99,1.0,0.96,1.0,1.0
0.0405,1.0,0.99,1.0,0.96,1.0,1.0
0.041,1.0,0.99,1.0,0.96,1.0,1.0
0.0415,1.0,0.99,1.0,0.96,1.0,1.0
0.042,1.0,0.99,1.0,0.96,1.0,1.0
0.0425,1.0,0.99,1.0,0.96,1.0,1.0
0.043,1.0,0.99,1.0,0.96,1.0,1.0
0.0435,1.0,0.99,1.0,0.96,1.0,1.0
0.044,1.0,0.99,1.0,0.96,1.0,1.0
0.0445,1.0,0.99,1.0,0.96,1.0,1.0
0.045,1.0,0.99,1.0,0.96,1.0,1.0
0.0455,1.0,0.99,1.0,0.96,1.0,1.0
0.046,1.0,0.99,1.0,0.96,1.0,1.0
0.0465,1.0,0.99,1.0,0.96,1.0,1.0
0.047,1.0,0.99,1.0,0.96,1.0,1.0
0.0475,1.0,0.99,1.0,0.96,1.0,1.0
0.048,1.0,0.99,1.0,0.96,1.0,1.0
0.0485,1.0,0.99,1.0,0.96,1.0,1.0
0.049,1.0,0.99,1.0,0.96,1.0,1.0
