T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.003622100924291289,1.023272387713125,1.0014415237820293,0.0001275042616078735,0.999668832824442,0.999668832824442
54.0,0.003622100924291289,1.023272387713125,1.0014415237820293,0.0001275042616078735,0.999668832824442,0.999668832824442
55.0,0.003622100924291289,1.023272387713125,1.0014415237820293,0.0001275042616078735,0.999668832824442,0.999668832824442
56.0,0.003622100924291289,1.023272387713125,1.0014415237820293,0.0001275042616078735,0.999668832824442,0.999668832824442
57.0,0.003622100924291289,1.023272387713125,1.0014415237820293,0.0001275042616078735,0.999668832824442,0.999668832824442
58.0,0.003622100924291289,1.023272387713125,1.0014415237820293,0.0001275042616078735,0.999668832824442,0.999668832824442
59.0,0.003622100924291289,1.023272387713125,1.0014415237820293,0.0001275042616078735,0.999668832824442,0.999668832824442
60.0,0.0041660926753875355,1.033251160628574,0.5018061855131961,0.34470852304651467,0.5004478779765521,0.5004478779765521
61.0,0.0041660926753875355,1.033251160628574,0.5018061855131961,0.34470852304651467,0.5004478779765521,0.5004478779765521
62.0,0.0041660926753875355,1.033251160628574,0.5018061855131961,0.34470852304651467,0.5004478779765521,0.5004478779765521
63.0,0.004208342559232052,1.03005956044035,0.4018290446398023,0.2762119771695535,0.4006476985253535,0.4006476985253535
64.0,0.0035093566364493844,1.0271998654620096,0.33526941852832176,0.23053764355053416,0.3344937194903042,0.3344937194903042
65.0,0.002852720980913312,1.0279868172312323,0.22389172878247082,0.15418984346660236,0.33453304562137237,0.33453304562137237
66.0,0.0023362303313980283,1.0309020191023253,0.1833572298750178,0.12635857631533842,0.45569627707968413,0.45569627707968413
67.0,0.0021463535501001552,1.030463675694414,0.16840650953728553,0.11589323102088406,0.4178476848525616,0.4178476848525616
68.0,0.001984208844764132,1.0286607944902313,0.15557318499121106,0.10713046991484504,0.3858015646427276,0.3858015646427276
69.0,0.001984208844764132,1.0286607944902313,0.15557318499121106,0.10713046991484504,0.3858015646427276,0.3858015646427276
70.0,0.0016121696863708574,0.9008093942763148,0.1268204833954344,0.08717723728021466,0.500965005449924,0.500965005449924
