Item,Reference,Estimate
RM-P009.jams,69.97084548104957,140.148
RM-P026.jams,157.89473684210532,78.9003
RM-P035.jams,170.21276595744723,85.0694
RM-P037.jams,184.615384615383,91.875
RM-P041.jams,199.99999999999952,99.8641
RM-P043.jams,163.26530612244912,81.3853
RM-P046.jams,167.83216783216787,84.032
RM-P053.jams,131.86813186813237,66.0443
RM-P060.jams,148.14814814814773,74.0927
RM-P069.jams,62.01550387596892,124.155
RM-P071.jams,140.3508771929818,70.0742
RM-P077.jams,120.0,60.0927
RM-P083.jams,140.3508771929818,70.0742
RM-P089.jams,134.07821229050285,66.8993
RM-P095.jams,164.38356164383472,82.0312
