Item,Reference,Estimate
RM-P035.jams,170.21276595744723,85.04721
RM-P037.jams,184.615384615383,92.06549
RM-P041.jams,199.99999999999952,99.99061
RM-P043.jams,163.26530612244912,81.49866
RM-P046.jams,167.83216783216787,83.98264
RM-P057.jams,69.97084548104957,140.01051
RM-P065.jams,75.94936708860767,151.99677
RM-P066.jams,75.94936708860767,151.99677
RM-P069.jams,62.01550387596892,124.00254
RM-P071.jams,140.3508771929818,69.98554
RM-P072.jams,82.758620689655,41.360466
RM-P073.jams,148.14814814814838,74.204384
RM-P077.jams,120.0,60.010136
RM-P078.jams,75.0,149.98592
RM-P080.jams,80.0,160.00073
RM-P083.jams,140.3508771929818,69.98554
RM-P086.jams,80.0,160.00073
RM-P095.jams,164.38356164383472,82.01122
RM-P100.jams,80.0,160.00073
