T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.004147090680907789,0.03677775084523535,0.002129444544106598,0.00030294737354168063,0.0011153298736338614,0.0011153298736338614
61.0,0.004848449530950871,0.026125119766988322,0.0014280856940635288,0.20752658091942197,0.20793277216946807,0.20793277216946807
62.0,0.004848449530950871,0.026125119766988322,0.0014280856940635288,0.20752658091942197,0.20793277216946807,0.20793277216946807
63.0,0.004848449530950871,0.026125119766988322,0.0014280856940635288,0.20752658091942197,0.20793277216946807,0.20793277216946807
64.0,0.004848449530950871,0.026125119766988322,0.0014280856940635288,0.20752658091942197,0.20793277216946807,0.20793277216946807
65.0,0.0032322996873010083,0.023783190345239333,0.001605881949090222,0.13940865352806278,0.1386669905565317,0.1386669905565317
66.0,0.0032322996873010083,0.023783190345239333,0.001605881949090222,0.13940865352806278,0.1386669905565317,0.1386669905565317
67.0,0.0032322996873010083,0.023783190345239333,0.001605881949090222,0.13940865352806278,0.1386669905565317,0.1386669905565317
68.0,0.0032322996873010083,0.023783190345239333,0.001605881949090222,0.13940865352806278,0.1386669905565317,0.1386669905565317
69.0,0.0032322996873010083,0.023783190345239333,0.001605881949090222,0.13940865352806278,0.1386669905565317,0.1386669905565317
70.0,0.002424224765475756,0.02120072442959882,0.001760772248584912,0.10455815825833065,0.10400191102968233,0.10400191102968233
71.0,0.002424224765475756,0.02120072442959882,0.001760772248584912,0.10455815825833065,0.10400191102968233,0.10400191102968233
72.0,0.002424224765475756,0.02120072442959882,0.001760772248584912,0.10455815825833065,0.10400191102968233,0.10400191102968233
73.0,0.002424224765475756,0.02120072442959882,0.001760772248584912,0.10455815825833065,0.10400191102968233,0.10400191102968233
