T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,-0.004147090680907789,1.0367777508452354,0.002129444544106598,1.0003029473735416,0.0011153298736338614,0.0011153298736338614
61.0,-0.004848449530950871,0.5261251197669884,0.0014280856940635288,0.707526580919422,-0.29206722783053196,-0.29206722783053196
62.0,-0.004848449530950871,0.5261251197669884,0.0014280856940635288,0.707526580919422,-0.29206722783053196,-0.29206722783053196
63.0,-0.004848449530950871,0.5261251197669884,0.0014280856940635288,0.707526580919422,-0.29206722783053196,-0.29206722783053196
64.0,-0.004848449530950871,0.5261251197669884,0.0014280856940635288,0.707526580919422,-0.29206722783053196,-0.29206722783053196
65.0,-0.003232299687300154,0.690449857011906,0.0002982323096611501,0.47062678769783317,-0.19475662766390764,-0.19475662766390764
66.0,-0.003232299687300154,0.690449857011906,0.0002982323096611501,0.47062678769783317,-0.19475662766390764,-0.19475662766390764
67.0,-0.003232299687300154,0.690449857011906,0.0002982323096611501,0.47062678769783317,-0.19475662766390764,-0.19475662766390764
68.0,-0.003232299687300154,0.690449857011906,0.0002982323096611501,0.47062678769783317,-0.19475662766390764,-0.19475662766390764
69.0,-0.003232299687300154,0.690449857011906,0.0002982323096611501,0.47062678769783317,-0.19475662766390764,-0.19475662766390764
70.0,-0.0024242247654751156,0.5212007244295989,0.0007800350190131082,0.3529717588856584,-0.14606580263564717,-0.14606580263564717
71.0,-0.0024242247654751156,0.5212007244295989,0.0007800350190131082,0.3529717588856584,-0.14606580263564717,-0.14606580263564717
72.0,-0.0024242247654751156,0.5212007244295989,0.0007800350190131082,0.3529717588856584,-0.14606580263564717,-0.14606580263564717
73.0,-0.0024242247654751156,0.5212007244295989,0.0007800350190131082,0.3529717588856584,-0.14606580263564717,-0.14606580263564717
