T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
27.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
28.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
29.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
30.0,0.0,0.13333333333333333,0.13333333333333333,0.4,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0
31.0,0.0,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.11764705882352941,0.0
32.0,0.0,0.1,0.1,0.35,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0
33.0,0.0,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.09523809523809523,0.0
34.0,0.0,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.09523809523809523,0.0
35.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.041666666666666664,0.20833333333333334,0.0,0.08333333333333333,0.0
36.0,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.37037037037037035,0.0,0.0,0.0,0.037037037037037035,0.25925925925925924,0.0,0.07407407407407407,0.0
37.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.0,0.0,0.0,0.03571428571428571,0.25,0.0,0.07142857142857142,0.0
38.0,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.3870967741935484,0.0,0.0,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.0967741935483871,0.0
39.0,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.02857142857142857,0.02857142857142857,0.2857142857142857,0.05714285714285714,0.11428571428571428,0.0
40.0,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.02857142857142857,0.02857142857142857,0.2857142857142857,0.05714285714285714,0.11428571428571428,0.0
41.0,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.02857142857142857,0.02857142857142857,0.2857142857142857,0.05714285714285714,0.11428571428571428,0.0
42.0,0.1891891891891892,0.16216216216216217,0.16216216216216217,0.4594594594594595,0.0,0.0,0.02702702702702703,0.02702702702702703,0.2972972972972973,0.05405405405405406,0.13513513513513514,0.02702702702702703
43.0,0.225,0.175,0.15,0.475,0.0,0.025,0.025,0.05,0.35,0.05,0.175,0.025
44.0,0.25,0.2,0.175,0.475,0.0,0.025,0.025,0.05,0.375,0.05,0.175,0.025
45.0,0.275,0.2,0.175,0.525,0.0,0.05,0.05,0.05,0.425,0.05,0.2,0.025
46.0,0.325,0.225,0.225,0.525,0.0,0.1,0.05,0.05,0.45,0.05,0.2,0.025
47.0,0.3333333333333333,0.2857142857142857,0.23809523809523808,0.5238095238095238,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.42857142857142855,0.047619047619047616,0.23809523809523808,0.023809523809523808
48.0,0.32558139534883723,0.27906976744186046,0.23255813953488372,0.5116279069767442,0.0,0.09302325581395349,0.046511627906976744,0.046511627906976744,0.4186046511627907,0.046511627906976744,0.23255813953488372,0.023255813953488372
49.0,0.3404255319148936,0.2978723404255319,0.23404255319148937,0.5106382978723404,0.0,0.10638297872340426,0.06382978723404255,0.0851063829787234,0.425531914893617,0.0425531914893617,0.23404255319148937,0.02127659574468085
50.0,0.3404255319148936,0.2978723404255319,0.23404255319148937,0.5106382978723404,0.0,0.10638297872340426,0.06382978723404255,0.0851063829787234,0.40425531914893614,0.0425531914893617,0.23404255319148937,0.02127659574468085
51.0,0.375,0.2916666666666667,0.25,0.5208333333333334,0.0,0.10416666666666667,0.08333333333333333,0.125,0.3958333333333333,0.041666666666666664,0.20833333333333334,0.020833333333333332
52.0,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.5882352941176471,0.0,0.11764705882352941,0.13725490196078433,0.13725490196078433,0.39215686274509803,0.058823529411764705,0.21568627450980393,0.0196078431372549
53.0,0.4528301886792453,0.39622641509433965,0.32075471698113206,0.6226415094339622,0.0,0.11320754716981132,0.1320754716981132,0.16981132075471697,0.41509433962264153,0.05660377358490566,0.20754716981132076,0.018867924528301886
54.0,0.45901639344262296,0.4426229508196721,0.36065573770491804,0.6557377049180327,0.0,0.11475409836065574,0.18032786885245902,0.18032786885245902,0.4262295081967213,0.11475409836065574,0.21311475409836064,0.03278688524590164
55.0,0.46774193548387094,0.46774193548387094,0.3870967741935484,0.6451612903225806,0.0,0.11290322580645161,0.20967741935483872,0.1774193548387097,0.41935483870967744,0.12903225806451613,0.22580645161290322,0.03225806451612903
56.0,0.49230769230769234,0.47692307692307695,0.4153846153846154,0.6615384615384615,0.0,0.12307692307692308,0.24615384615384617,0.23076923076923078,0.4307692307692308,0.16923076923076924,0.23076923076923078,0.046153846153846156
57.0,0.5076923076923077,0.49230769230769234,0.4307692307692308,0.676923076923077,0.0,0.12307692307692308,0.24615384615384617,0.24615384615384617,0.4461538461538462,0.16923076923076924,0.23076923076923078,0.046153846153846156
58.0,0.4925373134328358,0.4925373134328358,0.44776119402985076,0.6417910447761194,0.0,0.11940298507462686,0.26865671641791045,0.23880597014925373,0.43283582089552236,0.16417910447761194,0.22388059701492538,0.05970149253731343
59.0,0.48484848484848486,0.5151515151515151,0.48484848484848486,0.6212121212121212,0.0,0.12121212121212122,0.2727272727272727,0.25757575757575757,0.42424242424242425,0.15151515151515152,0.21212121212121213,0.06060606060606061
60.0,0.4852941176470588,0.5294117647058824,0.4852941176470588,0.6176470588235294,0.0,0.11764705882352941,0.2647058823529412,0.2647058823529412,0.4264705882352941,0.14705882352941177,0.22058823529411764,0.058823529411764705
61.0,0.4864864864864865,0.5540540540540541,0.5,0.6081081081081081,0.0,0.10810810810810811,0.2702702702702703,0.28378378378378377,0.44594594594594594,0.1891891891891892,0.24324324324324326,0.0945945945945946
62.0,0.48,0.56,0.52,0.6,0.0,0.10666666666666667,0.29333333333333333,0.30666666666666664,0.4533333333333333,0.21333333333333335,0.25333333333333335,0.09333333333333334
63.0,0.49333333333333335,0.6,0.5733333333333334,0.6133333333333333,0.0,0.13333333333333333,0.30666666666666664,0.30666666666666664,0.4266666666666667,0.21333333333333335,0.26666666666666666,0.10666666666666667
64.0,0.4935064935064935,0.5974025974025974,0.5714285714285714,0.6233766233766234,0.0,0.14285714285714285,0.3116883116883117,0.3116883116883117,0.4155844155844156,0.22077922077922077,0.2857142857142857,0.11688311688311688
65.0,0.49333333333333335,0.6,0.5733333333333334,0.6133333333333333,0.0,0.13333333333333333,0.30666666666666664,0.32,0.4,0.22666666666666666,0.28,0.12
66.0,0.5138888888888888,0.6388888888888888,0.5972222222222222,0.6388888888888888,0.0,0.125,0.3472222222222222,0.3611111111111111,0.4166666666666667,0.2638888888888889,0.3194444444444444,0.1527777777777778
67.0,0.547945205479452,0.6301369863013698,0.6164383561643836,0.6438356164383562,0.0136986301369863,0.1780821917808219,0.3835616438356164,0.410958904109589,0.4520547945205479,0.3013698630136986,0.3150684931506849,0.1917808219178082
68.0,0.5555555555555556,0.6388888888888888,0.625,0.6527777777777778,0.013888888888888888,0.18055555555555555,0.3888888888888889,0.4166666666666667,0.4583333333333333,0.3055555555555556,0.3194444444444444,0.19444444444444445
69.0,0.5555555555555556,0.6388888888888888,0.6527777777777778,0.6805555555555556,0.013888888888888888,0.19444444444444445,0.4305555555555556,0.4305555555555556,0.4722222222222222,0.3333333333333333,0.3194444444444444,0.20833333333333334
70.0,0.5555555555555556,0.6527777777777778,0.6666666666666666,0.6944444444444444,0.013888888888888888,0.19444444444444445,0.4444444444444444,0.4305555555555556,0.4722222222222222,0.3333333333333333,0.3194444444444444,0.20833333333333334
71.0,0.5833333333333334,0.6944444444444444,0.7083333333333334,0.7222222222222222,0.013888888888888888,0.2222222222222222,0.4722222222222222,0.4305555555555556,0.4861111111111111,0.375,0.3333333333333333,0.25
72.0,0.5735294117647058,0.6764705882352942,0.7058823529411765,0.6764705882352942,0.014705882352941176,0.22058823529411764,0.47058823529411764,0.4411764705882353,0.5,0.39705882352941174,0.35294117647058826,0.2647058823529412
73.0,0.5538461538461539,0.6615384615384615,0.7076923076923077,0.6615384615384615,0.015384615384615385,0.23076923076923078,0.49230769230769234,0.4307692307692308,0.49230769230769234,0.4153846153846154,0.36923076923076925,0.27692307692307694
74.0,0.5689655172413793,0.6551724137931034,0.7241379310344828,0.6379310344827587,0.017241379310344827,0.2413793103448276,0.5,0.4482758620689655,0.4827586206896552,0.41379310344827586,0.39655172413793105,0.3103448275862069
