T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0
24.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
25.0,0.6,0.8,0.8,0.6,0.0,0.0,1.0,0.4,0.6,0.4,0.0,0.2,0.0
26.0,0.6,0.4,0.6,0.6,0.0,0.2,0.7,0.4,0.5,0.2,0.1,0.2,0.0
27.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.75,0.5,0.5833333333333334,0.25,0.25,0.3333333333333333,0.08333333333333333
28.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.75,0.5,0.5833333333333334,0.25,0.25,0.3333333333333333,0.08333333333333333
29.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.75,0.5,0.5833333333333334,0.25,0.25,0.3333333333333333,0.08333333333333333
30.0,0.7333333333333333,0.6,0.7333333333333333,0.7333333333333333,0.13333333333333333,0.3333333333333333,0.8,0.6,0.6666666666666666,0.4,0.26666666666666666,0.4666666666666667,0.13333333333333333
31.0,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.7058823529411765,0.11764705882352941,0.35294117647058826,0.7647058823529411,0.5882352941176471,0.6470588235294118,0.47058823529411764,0.29411764705882354,0.47058823529411764,0.17647058823529413
32.0,0.6,0.6,0.7,0.75,0.1,0.35,0.75,0.6,0.65,0.5,0.35,0.45,0.3
33.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.09523809523809523,0.3333333333333333,0.7142857142857143,0.5714285714285714,0.6190476190476191,0.47619047619047616,0.3333333333333333,0.42857142857142855,0.2857142857142857
34.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.09523809523809523,0.3333333333333333,0.7142857142857143,0.5714285714285714,0.6190476190476191,0.47619047619047616,0.3333333333333333,0.42857142857142855,0.2857142857142857
35.0,0.5416666666666666,0.5416666666666666,0.625,0.7083333333333334,0.125,0.375,0.625,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.3333333333333333,0.375,0.25
36.0,0.5185185185185185,0.5555555555555556,0.6296296296296297,0.7037037037037037,0.1111111111111111,0.37037037037037035,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.4444444444444444,0.2962962962962963,0.3333333333333333,0.2222222222222222
37.0,0.5357142857142857,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.14285714285714285,0.39285714285714285,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.35714285714285715,0.25
38.0,0.5806451612903226,0.5806451612903226,0.6451612903225806,0.7096774193548387,0.16129032258064516,0.41935483870967744,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.4838709677419355,0.3225806451612903,0.41935483870967744,0.22580645161290322
39.0,0.5714285714285714,0.5714285714285714,0.6285714285714286,0.7142857142857143,0.2,0.45714285714285713,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4857142857142857,0.3142857142857143,0.4,0.22857142857142856
40.0,0.5714285714285714,0.5714285714285714,0.6285714285714286,0.7142857142857143,0.2,0.45714285714285713,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4857142857142857,0.3142857142857143,0.4,0.22857142857142856
