Item,Reference,Estimate
SMC_001.jams,48.15409309791324,96.1483
SMC_002.jams,65.35947712418306,97.5088
SMC_003.jams,67.99637352674527,143.555
SMC_004.jams,56.9943113965614,51.9394
SMC_005.jams,39.70880211780273,77.7138
SMC_007.jams,52.770448548812645,91.0655
SMC_008.jams,134.52914798206285,68.4499
SMC_011.jams,92.73570324574983,96.5975
SMC_014.jams,78.30853563038367,69.8374
SMC_015.jams,35.335689045936384,82.6875
SMC_016.jams,70.00758439322195,83.3543
SMC_018.jams,84.03361344537747,90.6661
SMC_019.jams,41.98740377886628,84.7208
SMC_022.jams,69.36416184971083,76.5625
SMC_023.jams,35.087911291194075,146.609
SMC_024.jams,164.836408921091,89.1029
SMC_026.jams,51.813471502590616,75.9995
SMC_027.jams,63.795871300336884,94.8251
SMC_028.jams,117.18750000000071,128.397
SMC_030.jams,199.99999999999952,66.8993
SMC_032.jams,89.15304606240736,150.89
SMC_033.jams,92.9224097878272,61.1594
SMC_035.jams,58.25242718446596,76.5625
SMC_036.jams,61.538461538461675,126.048
SMC_037.jams,58.76597214228153,114.844
SMC_041.jams,70.73803741560144,137.812
SMC_042.jams,46.15387346383044,93.9631
SMC_043.jams,92.3076923076915,108.23
SMC_044.jams,76.46027183709262,83.3543
SMC_046.jams,65.21739130434783,86.8566
SMC_048.jams,33.55704697986577,72.0274
SMC_051.jams,63.02521008403373,60.2679
SMC_054.jams,63.391459845378066,126.821
SMC_055.jams,67.63611854632029,101.832
SMC_056.jams,104.16666666666657,73.3045
SMC_057.jams,61.611431376816384,120.888
SMC_058.jams,62.89308176100625,93.9631
SMC_059.jams,71.42857142857129,144.559
SMC_060.jams,70.58823529411752,137.812
SMC_061.jams,40.0,77.7138
SMC_064.jams,44.182621502209116,87.9654
SMC_065.jams,73.17073170731705,145.577
SMC_066.jams,47.09602253018517,82.6875
SMC_068.jams,92.30769230769238,82.6875
SMC_071.jams,79.68127490039839,84.7208
SMC_072.jams,67.87365058890384,78.9003
SMC_073.jams,70.45998331345191,86.4932
SMC_075.jams,81.96721311475417,78.3026
SMC_079.jams,193.5483870967739,93.9631
SMC_080.jams,35.40658562492621,73.5654
SMC_084.jams,44.215204556414264,88.3413
SMC_085.jams,55.04587155963286,84.032
SMC_086.jams,69.42837306179138,88.3413
SMC_088.jams,60.363150543511225,86.8566
SMC_092.jams,128.8522149630725,66.0443
SMC_099.jams,56.550424128180964,112.961
SMC_100.jams,63.82978723404246,132.512
SMC_104.jams,67.49156355455573,86.1328
SMC_105.jams,129.31034482758608,137.812
SMC_106.jams,62.17623257132537,126.048
SMC_109.jams,65.50218340611352,87.5927
SMC_111.jams,93.02325581395355,58.2306
SMC_113.jams,45.801526717557174,140.625
SMC_114.jams,61.16207951070326,89.8777
SMC_116.jams,68.64988558352398,106.556
SMC_117.jams,59.94490578090065,143.555
SMC_118.jams,60.0120024605041,78.9003
SMC_119.jams,56.87714805579892,85.421
SMC_121.jams,34.11902184700018,74.3593
SMC_124.jams,65.78947368421059,108.23
SMC_126.jams,64.86676016830293,75.4448
SMC_127.jams,60.824043500422306,138.737
SMC_130.jams,45.024763619990956,128.397
SMC_133.jams,66.37168141592947,90.6661
SMC_137.jams,125.39527245409565,80.1235
SMC_139.jams,41.09589041095888,89.8777
SMC_140.jams,98.84678747940674,86.1328
SMC_142.jams,80.09077274971537,99.384
SMC_146.jams,58.536641081871274,96.5975
SMC_147.jams,99.32544415019578,93.1166
SMC_148.jams,70.92198581560282,97.971
SMC_149.jams,73.17689182724914,84.375
SMC_150.jams,113.85199240986734,86.8566
SMC_151.jams,138.8888888888882,72.0274
SMC_152.jams,84.03361344537821,93.1166
SMC_154.jams,56.177145387851255,91.4685
SMC_157.jams,78.63817507214512,95.7031
SMC_158.jams,42.36091499576391,101.333
SMC_159.jams,95.56423257895318,86.1328
SMC_161.jams,61.22448979591834,70.7941
SMC_166.jams,80.6451612903226,86.1328
SMC_167.jams,35.90852323848147,71.7773
SMC_168.jams,34.032898468519605,89.1029
SMC_169.jams,169.97167138810124,93.1166
SMC_171.jams,52.631578947368396,77.1339
SMC_173.jams,40.983778654001995,108.799
SMC_174.jams,81.68826113551681,93.1166
SMC_175.jams,35.642743033491115,86.1328
SMC_176.jams,80.69943125081394,92.2852
SMC_178.jams,36.92307692307692,90.6661
SMC_179.jams,41.66829433441414,92.2852
SMC_181.jams,61.66495375128475,86.8566
SMC_182.jams,71.34363852556471,141.588
SMC_184.jams,60.74104069649724,65.4173
SMC_187.jams,32.708242477104235,118.125
SMC_188.jams,47.8468899521532,94.8251
SMC_192.jams,32.918020946189955,90.6661
SMC_195.jams,174.52006980802798,87.5927
SMC_197.jams,36.715212336311325,89.1029
SMC_202.jams,55.658627087198546,88.3413
SMC_203.jams,68.76002750401098,86.1328
SMC_206.jams,71.77033492822964,86.1328
SMC_208.jams,54.52068367599702,94.8251
SMC_209.jams,72.99313284395004,89.8777
SMC_211.jams,83.74240299205238,72.7883
SMC_212.jams,40.540540540540526,82.0312
SMC_214.jams,45.801526717557174,74.3593
SMC_215.jams,57.3067993669066,98.4375
SMC_216.jams,62.20921732699242,87.5927
SMC_217.jams,53.81170247678607,93.9631
SMC_219.jams,91.25480562379441,100.838
SMC_220.jams,72.2022706209452,112.961
SMC_221.jams,52.49343832020994,137.812
SMC_222.jams,48.64438529034791,149.796
SMC_223.jams,60.4229607250754,95.7031
SMC_224.jams,63.35797254487838,93.9631
SMC_225.jams,44.6428571428571,72.7883
SMC_226.jams,55.6991470664254,89.8777
SMC_227.jams,64.79481641468695,70.3125
SMC_232.jams,149.90636704119842,94.8251
SMC_235.jams,64.5161290322582,114.844
SMC_236.jams,63.598166539343,75.9995
SMC_237.jams,64.58557588805152,73.3045
SMC_239.jams,48.2315112540193,88.3413
SMC_241.jams,75.3768844221106,88.3413
SMC_243.jams,51.19453924914658,87.5927
SMC_244.jams,109.68921389396698,84.7208
SMC_248.jams,97.24473257698472,83.3543
SMC_249.jams,68.69704602702086,111.74
SMC_251.jams,116.16661418739584,123.784
SMC_253.jams,65.62397462539647,99.384
SMC_254.jams,99.33774834437041,80.7495
SMC_255.jams,63.9079741509143,71.0374
SMC_256.jams,67.87339002245815,108.799
SMC_257.jams,155.23958709884658,84.032
SMC_258.jams,88.88888888888927,76.5625
SMC_260.jams,101.33556793153828,110.545
SMC_261.jams,70.58823529411752,80.1235
SMC_262.jams,112.35955056179797,61.1594
SMC_263.jams,48.42627630336968,94.8251
SMC_265.jams,153.0612244897968,76.5625
SMC_266.jams,47.713725237240666,94.3921
SMC_272.jams,206.89655172413853,103.879
SMC_274.jams,142.8571428571429,71.529
SMC_275.jams,40.0,119.837
SMC_276.jams,188.0877742946714,93.9631
SMC_277.jams,52.44755244755244,104.933
