Item,Reference,Estimate
SMC_002.jams,65.35947712418306,94.23405
SMC_003.jams,67.99637352674527,134.76651
SMC_004.jams,56.9943113965614,64.82041
SMC_005.jams,39.70880211780273,81.53808
SMC_006.jams,52.128583840139015,103.61803
SMC_007.jams,52.770448548812645,105.19517
SMC_008.jams,134.52914798206285,45.066746
SMC_009.jams,55.625991594604045,83.98264
SMC_014.jams,78.30853563038367,173.091
SMC_015.jams,35.335689045936384,158.89676
SMC_016.jams,70.00758439322195,141.62708
SMC_017.jams,72.28915662650617,111.07001
SMC_018.jams,84.03361344537747,20.660519
SMC_019.jams,41.98740377886628,83.11522
SMC_021.jams,90.2274001845251,47.787308
SMC_022.jams,69.36416184971083,138.70938
SMC_023.jams,35.087911291194075,146.55563
SMC_024.jams,164.836408921091,93.01177
SMC_026.jams,51.813471502590616,100.38489
SMC_028.jams,117.18750000000071,134.41165
SMC_030.jams,199.99999999999952,100.30603
SMC_032.jams,89.15304606240736,123.64769
SMC_033.jams,92.9224097878272,59.89185
SMC_036.jams,61.538461538461675,64.071266
SMC_037.jams,58.76597214228153,104.36717
SMC_041.jams,70.73803741560144,142.25793
SMC_042.jams,46.15387346383044,49.443306
SMC_043.jams,92.3076923076915,48.457592
SMC_047.jams,87.52739886361204,46.76217
SMC_048.jams,33.55704697986577,68.36897
SMC_052.jams,90.84032457708696,45.658173
SMC_054.jams,63.391459845378066,126.32883
SMC_055.jams,67.63611854632029,102.040886
SMC_056.jams,104.16666666666657,50.07416
SMC_057.jams,61.611431376816384,120.21741
SMC_058.jams,62.89308176100625,122.85912
SMC_061.jams,40.0,79.80323
SMC_064.jams,44.182621502209116,88.00435
SMC_068.jams,92.30769230769238,121.28198
SMC_071.jams,79.68127490039839,52.518726
SMC_074.jams,94.63722397476336,113.90885
SMC_075.jams,81.96721311475417,76.64895
SMC_076.jams,86.89396545215064,138.51222
SMC_079.jams,193.5483870967739,99.202034
SMC_080.jams,35.40658562492621,72.7061
SMC_084.jams,44.215204556414264,48.654736
SMC_087.jams,103.8968048359239,51.61187
SMC_088.jams,60.363150543511225,63.164413
SMC_089.jams,84.63235452116683,42.425037
SMC_092.jams,128.8522149630725,23.972511
SMC_095.jams,80.86253369272266,26.969074
SMC_096.jams,107.14285714285671,53.110153
SMC_098.jams,101.69491525423732,49.83759
SMC_099.jams,56.550424128180964,60.798706
SMC_101.jams,115.2294987516803,121.1637
SMC_103.jams,109.09090909090904,73.810104
SMC_104.jams,67.49156355455573,37.220478
SMC_105.jams,129.31034482758608,139.97108
SMC_109.jams,65.50218340611352,99.43861
SMC_111.jams,93.02325581395355,57.56557
SMC_113.jams,45.801526717557174,91.47406
SMC_114.jams,61.16207951070326,90.094055
SMC_116.jams,68.64988558352398,104.87974
SMC_117.jams,59.94490578090065,139.69508
