Item,Reference,Estimate
SMC_001.jams,48.154,97.5088
SMC_002.jams,65.359,99.384
SMC_003.jams,67.996,143.555
SMC_004.jams,56.994,123.047
SMC_005.jams,39.709,206.719
SMC_006.jams,52.129,139.675
SMC_007.jams,52.77,117.454
SMC_009.jams,55.625,92.2852
SMC_011.jams,92.736,198.768
SMC_012.jams,86.957,92.2852
SMC_013.jams,95.709,172.266
SMC_014.jams,78.309,90.6661
SMC_015.jams,35.336,172.266
SMC_016.jams,70.008,105.469
SMC_017.jams,72.289,147.656
SMC_018.jams,84.034,156.605
SMC_019.jams,41.987,166.709
SMC_021.jams,90.226,117.454
SMC_022.jams,69.364,161.499
SMC_023.jams,35.088,147.656
SMC_024.jams,164.835,184.57
SMC_026.jams,51.813,161.499
SMC_027.jams,63.796,139.675
SMC_028.jams,117.187,129.199
SMC_030.jams,200.0,101.333
SMC_032.jams,89.153,147.656
SMC_033.jams,92.922,161.499
SMC_034.jams,63.395,129.199
SMC_035.jams,58.252,126.048
SMC_036.jams,61.538,129.199
SMC_037.jams,58.766,126.048
SMC_038.jams,61.856,132.512
SMC_041.jams,70.738,83.3543
SMC_042.jams,46.154,95.7031
SMC_043.jams,92.308,109.957
SMC_044.jams,76.457,172.266
SMC_046.jams,65.217,132.512
SMC_047.jams,87.527,161.499
SMC_048.jams,33.557,123.047
SMC_051.jams,63.025,114.844
SMC_052.jams,90.84,139.675
SMC_054.jams,63.391,101.333
SMC_055.jams,67.636,103.359
SMC_056.jams,104.167,147.656
SMC_057.jams,61.611,143.555
SMC_058.jams,62.893,135.999
SMC_059.jams,71.429,147.656
SMC_060.jams,70.588,139.675
SMC_061.jams,40.0,80.7495
SMC_064.jams,44.183,151.999
SMC_065.jams,73.171,139.675
SMC_066.jams,47.096,166.709
SMC_067.jams,86.957,93.9631
SMC_068.jams,92.308,120.185
SMC_069.jams,86.705,184.57
SMC_071.jams,79.681,172.266
SMC_072.jams,67.873,101.333
SMC_073.jams,70.46,103.359
SMC_074.jams,94.637,107.666
SMC_075.jams,81.967,156.605
SMC_076.jams,86.894,172.266
SMC_080.jams,35.407,120.185
SMC_084.jams,44.215,114.844
SMC_085.jams,55.046,161.499
SMC_086.jams,69.428,147.656
SMC_087.jams,103.896,215.332
SMC_088.jams,60.362,120.185
SMC_089.jams,84.632,143.555
SMC_095.jams,80.863,172.266
SMC_098.jams,101.695,206.719
SMC_099.jams,56.55,120.185
SMC_100.jams,63.83,129.199
SMC_103.jams,109.091,117.454
SMC_104.jams,67.492,123.047
SMC_105.jams,129.31,123.047
SMC_106.jams,62.176,129.199
SMC_109.jams,65.502,151.999
SMC_111.jams,93.023,132.512
SMC_113.jams,45.802,143.555
SMC_114.jams,61.162,117.454
SMC_116.jams,68.65,191.406
SMC_117.jams,59.94,143.555
SMC_118.jams,60.012,135.999
SMC_119.jams,56.872,105.469
SMC_120.jams,92.45,191.406
SMC_121.jams,34.119,147.656
SMC_124.jams,65.789,184.57
SMC_126.jams,64.865,132.512
SMC_127.jams,59.645,126.048
SMC_130.jams,45.025,206.719
SMC_133.jams,66.372,172.266
SMC_135.jams,76.19,79.5072
SMC_137.jams,124.74,132.512
SMC_139.jams,41.096,151.999
SMC_140.jams,98.847,172.266
SMC_142.jams,80.091,143.555
SMC_143.jams,87.083,123.047
SMC_146.jams,58.537,156.605
SMC_147.jams,99.321,117.454
SMC_148.jams,70.922,143.555
SMC_149.jams,73.175,156.605
