Item,cvar,1.0,2.0,davies2009/mirex_qm_tempotracker,boeck2019/multi_task_hjdb,boeck2019/multi_task,boeck2020/dar,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
SMC_002.jams,0.08389680689220694,65.35947712418306,65.359,99.384,97.25,97.62,96.58,191,94,111,97.5088,94.23405,94.23405,193.55,94.23405
SMC_015.jams,0.16805429734167313,35.335689045936384,35.336,172.266,86.29,84.49,84.59,84,84,84,82.6875,79.44838,79.44838,166.67,86.821495
SMC_018.jams,0.07984395222576851,84.03361344537747,84.034,156.605,90.82,89.06,89.58,116,92,92,90.6661,41.321037,41.321037,181.82,92.14433
SMC_019.jams,0.08172788722132777,41.98740377886628,41.987,166.709,83.81,83.71,82.75,87,84,84,84.7208,83.11522,83.11522,82.19,82.09008
SMC_023.jams,0.11206857843995545,35.087911291194075,35.088,147.656,68.66,66.01,68.09,70,67,66,146.609,73.27782,73.27782,72.29,61.587273
SMC_024.jams,0.3019333342141434,164.836408921091,164.835,184.57,91.93,89.77,91.09,87,84,87,89.1029,93.01177,93.01177,176.47,92.972336
SMC_032.jams,0.27572148215465847,89.15304606240736,89.153,147.656,122.71,122.4,62.76,60,121,84,150.89,123.64769,123.64769,40.82,121.67627
SMC_037.jams,0.11909496622125498,58.76597214228153,58.766,126.048,64.11,64.81,64.65,111,87,112,114.844,104.36717,104.36717,127.66,55.75186
SMC_042.jams,0.06728051918782021,46.15387346383044,46.154,95.7031,90.33,90.29,91.22,97,96,97,93.9631,49.443306,98.88661,95.24,98.7289
SMC_084.jams,0.0482654300127169,44.215204556414264,44.215,114.844,52.79,71.16,35.15,87,80,87,88.3413,48.654736,97.30947,92.31,126.44711
SMC_105.jams,0.08902583673296602,129.31034482758608,129.31,123.047,68.55,67.52,69.69,67,121,67,137.812,139.97108,69.98554,139.53,79.40894
SMC_111.jams,0.25686971957504223,93.02325581395355,93.023,132.512,66.76,66.93,66.25,73,67,130,58.2306,57.56557,115.13114,130.43,57.56557
SMC_116.jams,0.10219445649750519,68.64988558352398,68.65,191.406,63.07,55.6,86.31,106,106,200,106.556,104.87974,104.87974,187.5,105.11631
SMC_117.jams,0.14454726844931973,59.94490578090065,59.94,143.555,108.56,109.16,72.67,116,116,112,143.555,139.69508,139.69508,153.85,108.50716
SMC_127.jams,0.4654802714002501,60.824043500422306,59.645,126.048,65.45,64.27,103.07,81,73,80,138.737,128.30026,128.30026,130.43,63.91355
SMC_130.jams,0.32016041985056476,45.024763619990956,45.025,206.719,67.63,68.45,69.19,116,112,130,128.397,109.69001,109.69001,230.77,53.149582
