Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,0.15276316548140162,0.01985470160069437,0.0704353194458053,0.30362705523780137,0.0022644569332927644,0.0073295276272156975,0.002469101057412431,0.07801181634356565,0.02321976430352903,0.024564722262615954
boeck2019/multi_task,0.15276316548140162,1.0,0.133795581581921,0.004017135707260326,0.7483889308288715,0.12728228428906452,0.22602356875544882,0.13242193421002413,0.7146076131428964,0.33444942179553006,0.3444063203849713
boeck2019/multi_task_hjdb,0.01985470160069437,0.133795581581921,1.0,0.0003165413040928285,0.27099735766892596,0.5852168399906535,0.7564413242332223,0.5938287279143604,0.6122663649747733,0.9750404258286228,0.8939087605211822
davies2009/mirex_qm_tempotracker,0.0704353194458053,0.004017135707260326,0.0003165413040928285,1.0,0.0397876019321506,0.00013331604269451114,0.0002988570002574351,0.00012889780779142153,0.006919467803341886,0.0009726137958811465,0.0012927829026947097
percival2014/stem,0.30362705523780137,0.7483889308288715,0.27099735766892596,0.0397876019321506,1.0,0.12579124545707326,0.13699674903525008,0.10457489626491652,0.4850206935016196,0.24933907690781745,0.2249732438728137
schreiber2014/default,0.0022644569332927644,0.12728228428906452,0.5852168399906535,0.00013331604269451114,0.12579124545707326,1.0,0.7634005955346193,0.9600235238594054,0.28806464945009524,0.6110173687054484,0.7157543671509621
schreiber2017/ismir2017,0.0073295276272156975,0.22602356875544882,0.7564413242332223,0.0002988570002574351,0.13699674903525008,0.7634005955346193,1.0,0.7407615892642876,0.40958144227178117,0.7818531372755826,0.8811597358243565
schreiber2017/mirex2017,0.002469101057412431,0.13242193421002413,0.5938287279143604,0.00012889780779142153,0.10457489626491652,0.9600235238594054,0.7407615892642876,1.0,0.3036667845799893,0.63347311592811,0.7456230466613807
schreiber2018/cnn,0.07801181634356565,0.7146076131428964,0.6122663649747733,0.006919467803341886,0.4850206935016196,0.28806464945009524,0.40958144227178117,0.3036667845799893,1.0,0.5389529543585592,0.515104585875551
schreiber2018/fcn,0.02321976430352903,0.33444942179553006,0.9750404258286228,0.0009726137958811465,0.24933907690781745,0.6110173687054484,0.7818531372755826,0.63347311592811,0.5389529543585592,1.0,0.9183528098565672
schreiber2018/ismir2018,0.024564722262615954,0.3444063203849713,0.8939087605211822,0.0012927829026947097,0.2249732438728137,0.7157543671509621,0.8811597358243565,0.7456230466613807,0.515104585875551,0.9183528098565672,1.0
