Item,Reference,Estimate
ArtPepper_Anthropology_Solo.jams,219.2916554323289,109.09
ArtPepper_BluesForBlanche_Solo.jams,199.18908733287174,100.0
ArtPepper_Desafinado_Solo.jams,140.69140962984443,70.59
BenWebster_ByeByeBlackbird_Solo.jams,140.93599159640496,70.59
BennyGoodman_Avalon_Solo.jams,241.24818460687789,120.0
BennyGoodman_HandfulOfKeys_Solo.jams,303.5835950703245,150.0
BennyGoodman_Nobody'sSweetheart_Solo.jams,311.67896101331115,153.85
BennyGoodman_Runnin'Wild_Solo.jams,285.36417445138636,142.86
BennyGoodman_TigerRag-1_Solo.jams,268.4904426703848,133.33
BennyGoodman_TigerRag-2_Solo.jams,271.552610186501,136.36
BennyGoodman_Whispering_Solo.jams,198.83850292517485,100.0
BobBerg_Angles_Solo.jams,270.7229258799701,136.36
BobBerg_BluesForBela_Solo.jams,250.06257597460151,127.66
BranfordMarsalis_TheNearnessOfYou_Solo.jams,36.989446357053,71.43
BranfordMarsalis_ThreeLittleWords_Solo.jams,264.5439634658151,133.33
BranfordMarsalis_Ummg_Solo.jams,211.8499780559149,107.14
BuckClayton_DestinationK.C._Solo.jams,248.59746788617184,125.0
BuckClayton_Dickie'sDream_Solo.jams,231.3134683101163,115.38
CannonballAdderley_SoWhat_Solo.jams,142.2598473233304,71.43
CannonballAdderley_StarEyes_Solo.jams,194.18496689818258,96.77
CannonballAdderley_ThisHere_Solo.jams,179.06212841924142,86.96
CharlieParker_DonnaLee_Solo.jams,226.01218174536447,113.21
CharlieParker_Ko=Ko_Solo.jams,299.9799601998757,150.0
CharlieParker_Segment_Solo.jams,247.15689330278332,122.45
CharlieParker_YardbirdSuite_Solo.jams,210.15582153931027,105.26
CharlieShavers_LimehouseBlues_Solo.jams,269.409429154678,136.36
ChetBaker_Two'sBlues_Solo.jams,202.47496940811936,101.69
ChetBaker_You'dBeSoNiceToComeHomeTo_Solo.jams,225.98550873119473,113.21
ChrisPotter_Anthropology_Solo.jams,245.49977150881142,122.45
ChrisPotter_Arjuna_Solo.jams,108.70373747519129,117.65
ChrisPotter_InASentimentalMood_Solo.jams,51.631400591091804,103.45
"ChrisPotter_Item1,D.I.T._Solo.jams",301.21765366787884,150.0
ChrisPotter_PopTune#1_Solo.jams,117.77808747288839,109.09
CliffordBrown_Daahoud_Solo.jams,241.46378074305218,120.0
CliffordBrown_George'sDilemma_Solo.jams,155.08108003520036,77.92
CliffordBrown_I'llRememberApril_AlternateTake2_Solo.jams,291.9259758520756,146.34
CliffordBrown_I'llRememberApril_Solo.jams,285.825321914378,142.86
CliffordBrown_Sandu_Solo.jams,139.61670608733,69.77
ColemanHawkins_Stompin'AtTheSavoy_Solo.jams,250.62159915572255,125.0
CurtisFuller_DownUnder_Solo.jams,147.6347721151398,74.07
DavidLiebman_Day&Nite_Solo.jams,245.55573437647797,122.45
DavidLiebman_I'veGotYouUnderMySkin_Solo.jams,256.48326334924246,127.66
DavidLiebman_Nica'sDream_Solo.jams,151.48200318854606,75.95
DavidLiebman_NoGreaterLove_Solo.jams,209.35043858667586,105.26
DavidLiebman_Pendulum_Solo.jams,259.49959919588184,130.43
DavidLiebman_SecretLove_Solo.jams,273.1759483175137,136.36
DavidLiebman_SoftlyAsInAMorningSunrise_Solo.jams,261.44149253902555,130.43
DavidMurray_BluesForTwo-1_Solo.jams,60.61546668462819,181.82
DavidMurray_BluesForTwo-2_Solo.jams,62.074599214473174,193.55
DavidMurray_ChelseaBridge_Solo.jams,53.114255028100644,107.14
DexterGordon_Cheesecake_Solo.jams,221.3320627414509,111.11
DexterGordon_Dextivity_Solo.jams,93.28221514173028,187.5
DexterGordon_Montmartre_Solo.jams,204.78778539312012,101.69
DickieWells_DestinationK.C._Solo.jams,249.41080241684517,125.0
DickieWells_Dickie'sDream_Solo.jams,229.76848673986643,115.38
DickieWells_IGotRhythm_Solo.jams,243.52324782736937,122.45
DizzyGillespie_Anthropology_Solo.jams,246.02192816402732,122.45
DizzyGillespie_Be=Bop_Solo.jams,290.5724856958787,146.34
DonByas_Be=Bop_Solo.jams,289.15493840188657,142.86
DonByas_OutOfNowhere_Solo.jams,67.19373418580163,71.43
DonEllis_YouSteppedOutOfADream-1_Solo.jams,199.95350995339453,98.36
FatsNavarro_Anthropology_No1_Solo.jams,300.9982403101862,150.0
