Item,Reference,Estimate
ArtPepper_Anthropology_Solo.jams,219.2916554323289,108
ArtPepper_Stardust-1_Solo.jams,60.760209240092145,121
ArtPepper_Stardust-2_Solo.jams,60.35577861560921,121
BennyCarter_IGotItBad_Solo.jams,68.31252337234072,135
BennyCarter_JustFriends_Solo.jams,205.23259933379003,102
BennyGoodman_Avalon_Solo.jams,241.24818460687789,120
BennyGoodman_HandfulOfKeys_Solo.jams,303.5835950703245,151
BennyGoodman_Nobody'sSweetheart_Solo.jams,311.67896101331115,156
BennyGoodman_Runnin'Wild_Solo.jams,285.36417445138636,143
BennyGoodman_TigerRag-1_Solo.jams,268.4904426703848,134
BennyGoodman_TigerRag-2_Solo.jams,271.552610186501,137
BobBerg_Angles_Solo.jams,270.7229258799701,136
BobBerg_BluesForBela_Solo.jams,250.06257597460151,128
BranfordMarsalis_TheNearnessOfYou_Solo.jams,36.989446357053,73
BranfordMarsalis_ThreeLittleWords_Solo.jams,264.5439634658151,133
BuckClayton_DestinationK.C._Solo.jams,248.59746788617184,124
CharlieParker_Don'tBlameMe_Solo.jams,63.81283667207653,125
CharlieParker_DonnaLee_Solo.jams,226.01218174536447,112
CharlieParker_EmbraceableYou_Solo.jams,72.4038846784708,77
CharlieParker_Ko=Ko_Solo.jams,299.9799601998757,151
CharlieParker_Ornithology_Solo.jams,221.41454892983046,110
CharlieParker_OutOfNowhere_Solo.jams,67.68194807609584,135
CharlieParker_Segment_Solo.jams,247.15689330278332,121
CharlieParker_ThrivingOnARiff_Solo.jams,227.5821637464424,113
CharlieShavers_LimehouseBlues_Solo.jams,269.409429154678,134
ChetBaker_IFallInLoveTooEasily_Solo.jams,65.24404601809891,130
ChetBaker_You'dBeSoNiceToComeHomeTo_Solo.jams,225.98550873119473,112
ChrisPotter_Anthropology_Solo.jams,245.49977150881142,123
ChrisPotter_Arjuna_Solo.jams,108.70373747519129,118
ChrisPotter_InASentimentalMood_Solo.jams,51.631400591091804,108
"ChrisPotter_Item1,D.I.T._Solo.jams",301.21765366787884,151
ChrisPotter_PopTune#1_Solo.jams,117.77808747288839,108
CliffordBrown_Daahoud_Solo.jams,241.46378074305218,121
CliffordBrown_George'sDilemma_Solo.jams,155.08108003520036,78
CliffordBrown_I'llRememberApril_AlternateTake2_Solo.jams,291.9259758520756,146
CliffordBrown_I'llRememberApril_Solo.jams,285.825321914378,143
ColemanHawkins_SophisticatedLady_Solo.jams,67.7426043670138,135
ColemanHawkins_Stompin'AtTheSavoy_Solo.jams,250.62159915572255,125
