Item,Reference,Estimate
ArtPepper_Anthropology_Solo.jams,219.5076425327174,109.375
ArtPepper_BluesForBlanche_Solo.jams,199.64161086484825,98.9085
ArtPepper_InAMellowTone_Solo.jams,168.83748883705522,84.7208
ArtPepper_Stardust-1_Solo.jams,60.80731710119602,90.6661
BenWebster_ByeByeBlackbird_Solo.jams,140.79897832940912,70.3125
BenWebster_NightAndDay_Solo.jams,182.07779249600068,91.0655
BennyCarter_JustFriends_Solo.jams,205.52254456483777,102.336
BennyCarter_LongAgoAndFarAway-1_Solo.jams,184.7620252080555,92.699
BennyCarter_LongAgoAndFarAway-2_Solo.jams,186.2576893131456,93.1166
BennyGoodman_Avalon_Solo.jams,240.41705026377954,120.185
BennyGoodman_HandfulOfKeys_Solo.jams,301.3454630277828,150.89
BennyGoodman_Nobody'sSweetheart_Solo.jams,311.3972121145445,77.7138
BennyGoodman_Runnin'Wild_Solo.jams,285.0477376616416,142.565
BennyGoodman_TigerRag-1_Solo.jams,268.32298136645926,134.67
BennyGoodman_TigerRag-2_Solo.jams,271.58656436837657,135.553
BennyGoodman_Whispering_Solo.jams,199.63032445976208,99.384
BixBeiderbecke_Margie_Solo.jams,180.52822847430429,90.2702
BixBeiderbecke_RiverboatShuffle_Solo.jams,211.37818530988307,106.01
BixBeiderbecke_RoyalGardenBlues_Solo.jams,172.97973760759123,86.8566
BobBerg_Angles_Solo.jams,270.03100201576876,67.7766
BobBerg_BluesForBela_Solo.jams,250.29856573718695,128.397
BobBerg_NoMoe_Solo.jams,161.12286684224148,80.4353
BobBerg_YouAndTheNightAndTheMusic_Solo.jams,167.24606535617215,20671.9
BranfordMarsalis_HousedFromEdward-1_Solo.jams,126.19530225348757,63.024
BranfordMarsalis_TheNearnessOfYou_Solo.jams,36.0564775511138,70.7941
BranfordMarsalis_ThreeLittleWords_Solo.jams,264.9676426456314,132.512
BranfordMarsalis_Ummg_Solo.jams,212.43627313234913,106.01
BuckClayton_AfterTheatreJump_Solo.jams,175.82855762586337,87.9654
BuckClayton_DestinationK.C._Solo.jams,247.37063525452288,123.784
BuckClayton_Dickie'sDream_Solo.jams,231.25327739905498,114.844
CannonballAdderley_SoWhat_Solo.jams,142.2618887604502,71.0374
CannonballAdderley_StarEyes_Solo.jams,194.0238313473878,97.0511
CannonballAdderley_ThisHere_Solo.jams,174.77459644546224,87.2231
CannonballAdderley_WorkSong_Solo.jams,156.42920484776803,78.0071
