Item,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
ArtPepper_Anthropology_Solo.jams,0.03369043024947374,0.02323985813319813,0.02323985813319813,0.029227561760937524,0.004988153576975556,0.03652931317836169,0.03652931317836169,0.008752310946850982,0.06336737314089971
ArtPepper_BluesForBlanche_Solo.jams,0.02169162744021133,0.0025875502076835215,0.0025875502076835215,0.0025875502076835215,0.013246036021809356,0.006106594449593754,0.006106594449593754,0.0025875502076835215,0.06033432159912756
ArtPepper_Desafinado_Solo.jams,0.029079431778184252,0.007097321332515666,0.0031710141213114424,0.017439265553974702,0.0006710521730827685,0.0009076479111542002,0.0009076479111542002,0.005011577893246798,0.004147760097109877
ArtPepper_InAMellowTone_Solo.jams,0.029002709117470188,0.026773287930108094,0.026773287930108094,0.026773287930108094,0.0051528405639346886,0.01562287191954388,0.01562287191954388,0.01864082921877659,0.06940280784473735
ArtPepper_Stardust-1_Solo.jams,0.19975697785176622,0.019282436606381667,0.007309794940305642,0.004564305347986164,0.42368170855790027,0.007708653903548035,0.007708653903548035,0.004689094781170112,0.02023337217959124
ArtPepper_Stardust-2_Solo.jams,0.05844531691832439,0.0005208627590370491,0.0005208627590370491,0.0005208627590370491,0.015118248163459495,0.02332779470840665,0.02332779470840665,0.002099837400098458,0.02558173298039702
BenWebster_ByeByeBlackbird_Solo.jams,0.02796671480319299,0.008210038307507097,0.022378281525916054,0.018551982528966025,0.0017837691480741462,0.0016159389753116144,0.0016159389753116144,0.0038988609182554336,0.017885590591353962
BenWebster_DidYouCallHerToday_Solo.jams,0.02250914005827507,0.028622902584716337,0.028622902584716337,0.028622902584716337,0.0016888191033524761,0.0019270098089635768,0.0019270098089635768,0.008246387375353244,5.312084415366404e-06
BenWebster_MyIdeal_Solo.jams,0.01874450839972023,0.001340657991934243,0.001340657991934243,0.001340657991934243,0.0031467949285648136,0.012202541585093046,0.012202541585093046,0.0027047244521975545,0.016772841032602098
BenWebster_NightAndDay_Solo.jams,0.01961310476290182,0.008565274376714298,0.01515079459709315,0.01515079459709315,0.0004215285533221449,0.0018526952399754223,0.0018526952399754223,0.002044068556855181,0.0018961762946057851
BenWebster_WhereOrWhen_Solo.jams,0.0009454076680244578,0.017307176244907456,0.03516024364922813,0.017307176244907456,0.004769402044050785,0.006130472572925349,0.006130472572925349,0.0037337886425037057,0.011946936747753243
BennyCarter_IGotItBad_Solo.jams,0.11715216182584279,0.013542878000370344,0.018165981726967907,0.018165981726967907,0.021231364204226787,0.013539218986568461,0.013539218986568461,0.003704884412577046,0.011889522436526048
BennyCarter_It'sAWonderfulWorld-1_Solo.jams,0.020302232965169524,0.008257100675300482,0.008257100675300482,0.008257100675300482,0.0015286309659258287,0.0019256983589460333,0.0019256983589460333,0.008257100675300482,0.0017359454342566346
BennyCarter_It'sAWonderfulWorld-2_Solo.jams,0.024115646569253257,0.023551162161723142,0.023551162161723142,0.023551162161723142,0.0017555104593634842,0.0015568752733457392,0.0015568752733457392,0.006827295857250099,0.006045836391563336
BennyCarter_JustFriends_Solo.jams,0.008367359713550957,0.010727505203775007,0.010727505203775007,0.010727505203775007,0.005982908357025709,0.005696529335871158,0.005696529335871158,0.009636987797376461,0.012380903864147435
BennyCarter_LongAgoAndFarAway-1_Solo.jams,0.05096778965241848,0.009634356320765007,0.009634356320765007,0.009634356320765007,0.004957415813658464,0.002459380597895568,0.002459380597895568,0.021222330595977036,1.602346629792607e-06
BennyCarter_LongAgoAndFarAway-2_Solo.jams,0.039336068795096754,0.005738284243048827,0.001997364536556583,0.001997364536556583,0.00018969919369545485,0.005489030247767786,0.005489030247767786,0.009590609738655217,0.006721758961714523
BennyCarter_SweetLorraine_Solo.jams,0.009929248901709854,0.010303503726907184,0.026245047595928755,0.010303503726907184,0.002895056658670309,0.0009429428333971139,0.0009429428333971139,0.011731051022539025,0.0021857799938725052
BennyGoodman_Avalon_Solo.jams,0.03367026905249385,0.002504809095208708,0.002504809095208708,0.002504809095208708,0.0002823669331638824,0.0128259967340606,0.0128259967340606,0.002504809095208708,0.008435567019669191
BennyGoodman_HandfulOfKeys_Solo.jams,0.012648233807055636,0.006455843425472192,0.0031302054037256805,0.0031302054037256805,0.0020788525167737457,0.00021923689832844672,0.00021923689832844672,0.006455843425472192,0.41406358387147113
BennyGoodman_Nobody'sSweetheart_Solo.jams,0.008374246678412117,0.0027900008122741927,0.0027900008122741927,0.006487812775736502,0.4175508150082657,0.003250688781090816,0.003250688781090816,0.017231584603791695,0.4204867593720454
BennyGoodman_Runnin'Wild_Solo.jams,0.01040002900215337,0.014865260388799388,0.004811595724876462,0.014865260388799388,0.00041628937991069207,0.008855054554177838,0.008855054554177838,0.003398475163252762,0.008855054554177838
BennyGoodman_TigerRag-1_Solo.jams,0.01962541933599337,0.012544378322384697,0.0017376233658019076,0.0017376233658019076,0.0054578780384017915,0.000993911547896618,0.000993911547896618,0.008969192596877543,0.000993911547896618
BennyGoodman_TigerRag-2_Solo.jams,0.002183933458186785,0.012763783259145959,0.012763783259145959,0.019179109243608515,0.0025550672989572546,0.007503320942188912,0.007503320942188912,0.006008394663840675,0.008336558583150917
BennyGoodman_Whispering_Solo.jams,0.021773190100699422,0.00266911286817158,0.00266911286817158,0.00266911286817158,0.006245373477605515,0.00025620852112714703,0.00025620852112714703,0.00266911286817158,0.00025620852112714703
BixBeiderbecke_I'mComingVirginia_Solo.jams,0.010626514995754373,0.016984874683582462,0.016984874683582462,0.016984874683582462,0.0014082641273345387,0.013100159790157674,0.013100159790157674,0.012220758173807706,0.025649765712958753
BixBeiderbecke_Margie_Solo.jams,0.031943633265201325,0.0037652541255851447,0.0037652541255851447,0.0037652541255851447,9.7265718387847e-05,0.0010628125061486924,0.0010628125061486924,0.010286459945444177,0.0010628125061486924
BixBeiderbecke_RiverboatShuffle_Solo.jams,0.026736235948553785,0.017784301500817338,0.004237769662869461,0.031204817263138725,0.0043738665490504125,0.0024386869634672697,0.0024386869634672697,0.01973803203759194,0.007298892383382255
BixBeiderbecke_RoyalGardenBlues_Solo.jams,0.04294285738388848,0.008484251825207435,0.008484251825207435,0.008484251825207435,0.006104330490277191,0.005521115778023125,0.005521115778023125,0.012983453176663416,0.005521115778023125
BixBeiderbecke_SinginTheBlues_Solo.jams,0.02579336471712369,0.015156728608386733,0.00637643294125445,0.015156728608386733,0.002400944873723696,0.007316226322173922,0.007316226322173922,0.002801247215747278,0.0047507918748481695
BobBerg_Angles_Solo.jams,0.01047099208352598,0.00016564402521089314,0.010481600174297733,0.00016564402521089314,0.4093033793474491,0.011129468851548724,0.011129468851548724,0.014295453289179812,0.011978787651046294
