Item,cvar,2.0,1.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
BennyGoodman_Avalon_Solo.jams,0.023210281726714445,240.41705026377954,241.24818460687789,123.047,120,120,120,120.185,121.28198,121.28198,120.0,119.507706
BennyGoodman_HandfulOfKeys_Solo.jams,0.024372346574944102,301.3454630277828,303.5835950703245,101.333,150,151,151,150.89,150.69563,150.69563,150.0,75.38724
BennyGoodman_Nobody'sSweetheart_Solo.jams,0.02277619983973822,311.3972121145445,311.67896101331115,156.605,156,156,155,77.7138,155.34818,77.67409,153.85,77.55581
BennyGoodman_Runnin'Wild_Solo.jams,0.024736294150452864,285.0477376616416,285.36417445138636,143.555,144,143,144,142.565,143.40135,143.40135,142.86,143.40135
BennyGoodman_TigerRag-1_Solo.jams,0.023730158407141457,268.32298136645926,268.4904426703848,135.999,133,134,134,134.67,134.25395,134.25395,133.33,134.25395
BennyGoodman_TigerRag-2_Solo.jams,0.020671096228070337,271.58656436837657,271.552610186501,135.999,137,137,134,135.553,136.50137,136.50137,136.36,136.58023
BobBerg_Angles_Solo.jams,0.02234544354450324,270.03100201576876,270.7229258799701,135.999,135,136,135,67.7766,133.97795,133.97795,136.36,133.8991
BobBerg_BluesForBela_Solo.jams,0.03592431815803395,250.29856573718695,250.06257597460151,129.199,128,128,130,128.397,128.89168,128.89168,127.66,126.09226
BranfordMarsalis_TheNearnessOfYou_Solo.jams,0.07721850547377938,36.0564775511138,36.989446357053,139.675,73,73,71,70.7941,69.2364,69.2364,71.43,84.6135
BranfordMarsalis_ThreeLittleWords_Solo.jams,0.022797063873861753,264.9676426456314,264.5439634658151,135.999,133,133,132,132.512,132.91339,132.91339,133.33,132.44025
BuckClayton_DestinationK.C._Solo.jams,0.024681222220246136,247.37063525452288,248.59746788617184,126.048,124,124,124,123.784,123.489975,123.489975,125.0,124.83055
CharlieParker_Ko=Ko_Solo.jams,0.02998359495202867,299.27048673439015,299.9799601998757,151.999,75,151,151,75.1705,74.83524,74.83524,150.0,75.03239
CharlieParker_Segment_Solo.jams,0.019454877523857165,247.04729340744706,247.15689330278332,123.047,122,121,123,123.047,123.213974,123.213974,122.45,121.28198
CharlieShavers_LimehouseBlues_Solo.jams,0.020087787554063676,268.1922257822332,269.409429154678,135.999,133,134,135,135.999,134.45108,134.45108,136.36,134.37224
ChetBaker_You'dBeSoNiceToComeHomeTo_Solo.jams,0.023473705344326263,224.5941644562337,225.98550873119473,114.844,112,112,112,112.347,112.88372,112.88372,113.21,112.60772
ChrisPotter_Anthropology_Solo.jams,0.016115529427994317,245.25547445255495,245.49977150881142,123.047,123,123,123,122.319,122.1494,122.1494,122.45,122.4254
ChrisPotter_Arjuna_Solo.jams,0.014072903244649755,108.48374896220906,108.70373747519129,120.185,118,118,118,117.454,117.339134,117.339134,117.65,116.27456
ChrisPotter_InASentimentalMood_Solo.jams,0.07151387594359959,51.9771347751783,51.631400591091804,103.359,107,108,107,103.879,107.245445,107.245445,103.45,100.463745
"ChrisPotter_Item1,D.I.T._Solo.jams",0.02084495018562863,300.59215290893457,301.21765366787884,151.999,151,151,151,150.89,151.56305,75.781525,150.0,73.41582
ChrisPotter_PopTune#1_Solo.jams,0.013425379873664768,117.64705882352905,117.77808747288839,109.957,108,108,109,108.23,108.78316,108.78316,109.09,110.91229
CliffordBrown_Daahoud_Solo.jams,0.024855496961268285,241.43712829262273,241.46378074305218,123.047,121,121,121,120.888,121.67627,121.67627,120.0,121.51855
CliffordBrown_George'sDilemma_Solo.jams,0.022867043009817005,154.7323177684865,155.08108003520036,78.3026,78,78,77,77.7138,77.8318,77.8318,77.92,78.1078
CliffordBrown_I'llRememberApril_AlternateTake2_Solo.jams,0.027215044398220332,292.2263551519252,291.9259758520756,147.656,146,146,148,73.0455,74.02696,74.02696,146.34,145.21507
